Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
20/10/18;Sa.;15:30;Leverkusen;Hannover;1:1;2:2;;1.57;4.48;5.57
20/10/18;Sa.;15:30;Stuttgart;Dortmund;0:3;0:4;;4.16;4.01;1.82
20/10/18;Sa.;15:30;Augsburg;Leipzig;0:0;0:0;;3.03;3.78;2.25
20/10/18;Sa.;15:30;Wolfsburg;B. München;0:1;1:3;;9.13;5.69;1.32
20/10/18;Sa.;15:30;Nürnberg;Hoffenheim;1:0;1:3;;4.41;4.25;1.73
20/10/18;Sa.;18:30;Schalke;Bremen;0:1;0:2;;2.11;3.56;3.51
21/10/18;So.;15:30;Hertha;Freiburg;1:1;1:1;;1.92;3.52;4.27
21/10/18;So.;18:00;M'gladbach;Mainz;1:0;4:0;;1.58;4.47;5.49
86.KHW
26/10/18;Fr.;20:30;Freiburg;M'gladbach;1:1;3:1;;3.50;3.65;2.08
27/10/18;Sa.;15:30;Düsseldorf;Wolfsburg;0:1;0:3;;3.16;3.48;2.29
27/10/18;Sa.;15:30;Mainz;B. München;0:1;1:2;;13.42;7.02;1.22
27/10/18;Sa.;15:30;Hannover;Augsburg;0:1;1:2;;2.46;3.57;2.83
27/10/18;Sa.;15:30;Dortmund;Hertha;1:1;2:2;;1.51;4.60;6.24
27/10/18;Sa.;18:30;Hoffenheim;Stuttgart;0:0;4:0;;1.50;4.85;5.90
28/10/18;So.;13:30;Nürnberg;Frankfurt;0:0;1:1;;4.11;3.74;1.89
28/10/18;So.;15:30;Leipzig;Schalke;0:0;0:0;;1.83;3.75;4.39
28/10/18;So.;18:00;Bremen;Leverkusen;0:3;2:6;;2.49;3.65;2.74
88.KHW
02/11/18;Fr.;20:30;Stuttgart;Frankfurt;0:2;0:3;;2.97;3.52;2.38
03/11/18;Sa.;15:30;B. München;Freiburg;0:0;1:1;;1.12;9.70;24.21
03/11/18;Sa.;15:30;Schalke;Hannover;0:0;3:1;;1.69;3.81;5.39
03/11/18;Sa.;15:30;Leverkusen;Hoffenheim;1:2;1:4;;2.14;3.94;3.14
03/11/18;Sa.;15:30;Augsburg;Nürnberg;1:0;2:2;;1.62;4.15;5.48
03/11/18;Sa.;15:30;Wolfsburg;Dortmund;0:1;0:1;;3.48;3.67;2.08
03/11/18;Sa.;18:30;Hertha;Leipzig;0:1;0:3;;3.25;3.59;2.21
04/11/18;So.;15:30;M'gladbach;Düsseldorf;0:0;3:0;;1.43;4.84;7.46
04/11/18;So.;18:00;Mainz;Bremen;1:0;2:1;;2.81;3.54;2.49
90.KHW
09/11/18;Fr.;20:30;Hannover;Wolfsburg;1:0;2:1;;2.97;3.38;2.46
10/11/18;Sa.;15:30;Nürnberg;Stuttgart;0:0;0:2;;2.44;3.45;2.94
10/11/18;Sa.;15:30;Bremen;M'gladbach;0:1;1:3;;2.41;3.73;2.81
10/11/18;Sa.;15:30;Hoffenheim;Augsburg;0:0;2:1;;1.56;4.67;5.37
10/11/18;Sa.;15:30;Freiburg;Mainz;0:2;1:3;;2.25;3.39;3.33
10/11/18;Sa.;15:30;Düsseldorf;Hertha;0:0;4:1;;3.23;3.64;2.19
10/11/18;Sa.;18:30;Dortmund;B. München;0:1;3:2;;3.90;4.11;1.85
11/11/18;So.;15:30;Leipzig;Leverkusen;1:0;3:0;;1.88;3.98;3.90
11/11/18;So.;18:00;Frankfurt;Schalke;0:0;3:0;;2.46;3.35;2.99
94.KHW
23/11/18;Fr.;20:30;Leverkusen;Stuttgart;0:0;2:0;;1.52;4.71;5.84
24/11/18;Sa.;15:30;B. München;Düsseldorf;2:1;3:3;;1.09;11.56;25.92
24/11/18;Sa.;15:30;Hertha;Hoffenheim;1:2;3:3;;3.43;3.97;2.01
24/11/18;Sa.;15:30;Augsburg;Frankfurt;0:1;1:3;;2.81;3.56;2.48
24/11/18;Sa.;15:30;Mainz;Dortmund;0:0;1:2;;4.88;4.34;1.65
24/11/18;Sa.;15:30;Wolfsburg;Leipzig;0:0;1:0;;3.17;3.44;2.30
24/11/18;Sa.;18:30;Schalke;Nürnberg;2:1;5:2;;1.53;4.19;6.83
25/11/18;So.;15:30;Freiburg;Bremen;1:0;1:1;;2.67;3.41;2.69
25/11/18;So.;18:00;M'gladbach;Hannover;2:1;4:1;;1.42;5.21;7.07
96.KHW
30/11/18;Fr.;20:30;Düsseldorf;Mainz;0:0;0:1;;2.57;3.49;2.74
01/12/18;Sa.;15:30;Bremen;B. München;1:1;1:2;;7.78;5.70;1.36
01/12/18;Sa.;15:30;Hannover;Hertha;0:1;0:2;;2.58;3.59;2.67
01/12/18;Sa.;15:30;Stuttgart;Augsburg;1:0;1:0;;2.68;3.42;2.67
01/12/18;Sa.;15:30;Dortmund;Freiburg;1:0;2:0;;1.34;5.55;8.91
01/12/18;Sa.;18:30;Hoffenheim;Schalke;0:0;1:1;;1.86;3.94;4.02
02/12/18;So.;15:30;Leipzig;M'gladbach;2:0;2:0;;1.75;4.17;4.36
02/12/18;So.;18:00;Frankfurt;Wolfsburg;0:1;1:2;;1.97;3.65;3.86
03/12/18;Mo.;20:30;Nürnberg;Leverkusen;0:1;1:1;;4.80;4.09;1.70
98.KHW
07/12/18;Fr.;20:30;Bremen;Düsseldorf;1:1;3:1;;1.84;3.89;4.16
08/12/18;Sa.;15:30;B. München;Nürnberg;2:0;3:0;;1.09;11.92;28.18
08/12/18;Sa.;15:30;Schalke;Dortmund;0:1;1:2;;3.24;3.50;2.24
08/12/18;Sa.;15:30;Leverkusen;Augsburg;0:0;1:0;;1.75;4.03;4.53
08/12/18;Sa.;15:30;Freiburg;Leipzig;2:0;3:0;;4.53;3.91;1.77
08/12/18;Sa.;15:30;Wolfsburg;Hoffenheim;2:1;2:2;;3.06;3.83;2.21
08/12/18;Sa.;18:30;Hertha;Frankfurt;1:0;1:0;;2.64;3.55;2.64
09/12/18;So.;15:30;Mainz;Hannover;0:1;1:1;;1.89;3.72;4.13
09/12/18;So.;18:00;M'gladbach;Stuttgart;0:0;3:0;;1.60;4.36;5.32
100.KHW
14/12/18;Fr.;20:30;Nürnberg;Wolfsburg;0:0;0:2;;3.68;3.50;2.08
15/12/18;Sa.;15:30;Augsburg;Schalke;1:0;1:1;;2.68;3.30;2.74
15/12/18;Sa.;15:30;Düsseldorf;Freiburg;0:0;2:0;;2.62;3.39;2.75
15/12/18;Sa.;15:30;Hannover;B. München;0:2;0:4;;12.19;7.08;1.22
15/12/18;Sa.;15:30;Stuttgart;Hertha;0:1;2:1;;2.54;3.44;2.82
15/12/18;Sa.;15:30;Hoffenheim;M'gladbach;0:0;0:0;;1.78;4.48;3.91
15/12/18;Sa.;18:30;Dortmund;Bremen;2:1;2:1;;1.35;5.64;8.16
16/12/18;So.;15:30;Leipzig;Mainz;2:1;4:1;;1.49;4.59;6.68
16/12/18;So.;18:00;Frankfurt;Leverkusen;1:0;2:1;;2.50;3.74;2.69
101.KHW
18/12/18;Di.;18:30;M'gladbach;Nürnberg;0:0;2:0;;1.39;5.11;7.94
18/12/18;Di.;20:30;Düsseldorf;Dortmund;1:0;2:1;;5.63;4.54;1.56
18/12/18;Di.;20:30;Hertha;Augsburg;2:2;2:2;;2.22;3.49;3.31
18/12/18;Di.;20:30;Wolfsburg;Stuttgart;2:0;2:0;;1.62;4.01;5.78
19/12/18;Mi.;18:30;Schalke;Leverkusen;1:2;1:2;;2.49;3.34;2.96
19/12/18;Mi.;20:30;Mainz;Frankfurt;2:2;2:2;;3.27;3.61;2.19
19/12/18;Mi.;20:30;Freiburg;Hannover;1:1;1:1;;1.78;3.91;4.47
19/12/18;Mi.;20:30;Bremen;Hoffenheim;0:1;1:1;;3.16;4.04;2.10
