Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
66.KHW
16/08/19;Fr.;20:30;B. München;Hertha;1:2;2:2;;1.18;8.44;15.52
17/08/19;Sa.;15:30;Leverkusen;Paderborn;2:2;3:2;;1.27;6.56;11.29
17/08/19;Sa.;15:30;Wolfsburg;Köln;1:0;2:1;;2.14;3.63;3.48
17/08/19;Sa.;15:30;Bremen;Düsseldorf;0:1;1:3;;1.71;4.09;4.98
17/08/19;Sa.;15:30;Freiburg;Mainz;0:0;3:0;;2.71;3.40;2.73
17/08/19;Sa.;15:30;Dortmund;Augsburg;1:1;5:1;;1.16;8.74;17.94
17/08/19;Sa.;18:30;M´gladbach;Schalke;0:0;0:0;;2.26;3.48;3.34
18/08/19;So.;15:30;Frankfurt;Hoffenheim;1:0;1:0;;2.14;3.82;3.32
18/08/19;So.;18:00;Union Berlin;Leipzig;0:3;0:4;;4.50;4.07;1.78
68.KHW
23/08/19;Fr.;20:30;Köln;Dortmund;1:0;1:3;;6.16;4.86;1.55
24/08/19;Sa.;15:30;Augsburg;Union Berlin;0:0;1:1;;2.42;3.48;3.01
24/08/19;Sa.;15:30;Paderborn;Freiburg;1:2;1:3;;2.40;3.79;2.86
24/08/19;Sa.;15:30;Hoffenheim;Bremen;0:1;3:2;;2.12;3.66;3.52
24/08/19;Sa.;15:30;Mainz;M´gladbach;1:1;1:3;;2.68;3.55;2.67
24/08/19;Sa.;15:30;Düsseldorf;Leverkusen;0:3;1:3;;4.94;4.55;1.65
24/08/19;Sa.;18:30;Schalke;B. München;0:1;0:3;;10.00;5.43;1.34
25/08/19;So.;15:30;Leipzig;Frankfurt;1:0;2:1;;1.45;4.94;7.31
25/08/19;So.;18:00;Hertha;Wolfsburg;0:1;0:3;;2.54;3.58;2.80
70.KHW
30/08/19;Fr.;20:30;M´gladbach;Leipzig;0:1;1:3;;3.09;3.83;2.25
31/08/19;Sa.;15:30;Freiburg;Köln;1:0;1:2;;2.66;3.54;2.69
31/08/19;Sa.;15:30;Schalke;Hertha;1:0;3:0;;2.11;3.62;3.58
31/08/19;Sa.;15:30;Leverkusen;Hoffenheim;0:0;0:0;;1.51;5.08;5.84
31/08/19;Sa.;15:30;Wolfsburg;Paderborn;0:1;1:1;;1.50;5.03;6.00
