Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
66.KHW
18/08/17;Fr.;20:30;B. München;Leverkusen;2:0;3:1;;1.29;6.22;9.73
19/08/17;Sa.;15:30;Hamburg;Augsburg;1:0;1:0;;2.27;3.26;3.42
19/08/17;Sa.;15:30;Mainz;Hannover;0:0;0:1;;1.84;3.69;4.44
19/08/17;Sa.;15:30;Wolfsburg;Dortmund;0:2;0:3;;3.74;3.88;1.94
19/08/17;Sa.;15:30;Hertha;Stuttgart;0:0;2:0;;1.99;3.57;3.89
19/08/17;Sa.;15:30;Hoffenheim;Bremen;0:0;1:0;;1.82;4.08;4.08
19/08/17;Sa.;18:30;Schalke;Leipzig;1:0;2:0;;2.87;3.41;2.51
20/08/17;So.;15:30;Freiburg;Frankfurt;0:0;0:0;;2.84;3.12;2.72
20/08/17;So.;18:00;M'gladbach;Köln;0:0;1:0;;1.75;3.79;4.89
68.KHW
25/08/17;Fr.;20:30;Köln;Hamburg;0:2;1:3;;2.04;3.40;3.94
26/08/17;Sa.;15:30;Frankfurt;Wolfsburg;0:1;0:1;;2.18;3.27;3.62
26/08/17;Sa.;15:30;Bremen;B. München;0:0;0:2;;10.93;7.00;1.24
26/08/17;Sa.;15:30;Stuttgart;Mainz;0:0;1:0;;2.43;3.45;2.96
26/08/17;Sa.;15:30;Leverkusen;Hoffenheim;1:0;2:2;;1.96;3.93;3.65
26/08/17;Sa.;15:30;Augsburg;M'gladbach;1:2;2:2;;3.33;3.40;2.24
26/08/17;Sa.;18:30;Dortmund;Hertha;1:0;2:0;;1.43;5.01;7.02
27/08/17;So.;15:30;Leipzig;Freiburg;0:1;4:1;;1.40;4.97;8.22
27/08/17;So.;18:00;Hannover;Schalke;0:0;1:0;;3.10;3.30;2.41
72.KHW
08/09/17;Fr.;20:30;Hamburg;Leipzig;0:0;0:2;;4.25;3.73;1.86
09/09/17;Sa.;15:30;Freiburg;Dortmund;0:0;0:0;;9.17;5.81;1.32
09/09/17;Sa.;15:30;Mainz;Leverkusen;1:1;3:1;;3.35;3.61;2.15
09/09/17;Sa.;15:30;M'gladbach;Frankfurt;0:1;0:1;;1.95;3.67;3.93
09/09/17;Sa.;15:30;Augsburg;Köln;2:0;3:0;;2.26;3.32;3.37
09/09/17;Sa.;15:30;Wolfsburg;Hannover;0:0;1:1;;1.86;3.65;4.40
09/09/17;Sa.;18:30;Hoffenheim;B. München;1:0;2:0;;6.11;5.03;1.48
10/09/17;So.;15:30;Hertha;Bremen;1:0;1:1;;2.11;3.50;3.57
10/09/17;So.;18:00;Schalke;Stuttgart;1:1;3:1;;1.76;3.85;4.72
74.KHW
15/09/17;Fr.;20:30;Hannover;Hamburg;0:0;2:0;;1.95;3.55;4.10
16/09/17;Sa.;15:30;Bremen;Schalke;1:1;1:2;;2.79;3.38;2.59
16/09/17;Sa.;15:30;Stuttgart;Wolfsburg;1:0;1:0;;2.23;3.55;3.24
16/09/17;Sa.;15:30;B. München;Mainz;2:0;4:0;;1.17;8.10;16.17
16/09/17;Sa.;15:30;Frankfurt;Augsburg;0:1;1:2;;1.91;3.46;4.40
16/09/17;Sa.;18:30;Leipzig;M'gladbach;2:1;2:2;;1.70;4.12;4.79
17/09/17;So.;13:30;Hoffenheim;Hertha;1:0;1:1;;1.78;3.77;4.67
17/09/17;So.;15:30;Leverkusen;Freiburg;3:0;4:0;;1.38;5.40;7.75
17/09/17;So.;18:00;Dortmund;Köln;2:0;5:0;;1.34;5.75;8.35
75.KHW
19/09/17;Di.;18:30;M'gladbach;Stuttgart;0:0;2:0;;1.73;4.06;4.62
19/09/17;Di.;20:30;Wolfsburg;Bremen;1:0;1:1;;1.94;3.69;3.96
19/09/17;Di.;20:30;Augsburg;Leipzig;1:0;1:0;;3.17;3.51;2.27
19/09/17;Di.;20:30;Schalke;B. München;0:2;0:3;;5.32;4.19;1.63
20/09/17;Mi.;18:30;Köln;Frankfurt;0:1;0:1;;2.95;3.25;2.55
20/09/17;Mi.;20:30;Hertha;Leverkusen;2:0;2:1;;3.16;3.49;2.29
20/09/17;Mi.;20:30;Hamburg;Dortmund;0:1;0:3;;8.50;5.47;1.35
20/09/17;Mi.;20:30;Mainz;Hoffenheim;2:2;2:3;;2.53;3.48;2.80
20/09/17;Mi.;20:30;Freiburg;Hannover;0:0;1:1;;2.98;3.33;2.48
76.KHW
22/09/17;Fr.;20:30;B. München;Wolfsburg;2:0;2:2;;1.13;9.45;19.47
23/09/17;Sa.;15:30;Stuttgart;Augsburg;0:0;0:0;;2.18;3.43;3.46
23/09/17;Sa.;15:30;Bremen;Freiburg;0:0;0:0;;1.77;3.97;4.46
23/09/17;Sa.;15:30;Hoffenheim;Schalke;1:0;2:0;;2.08;3.71;3.45
23/09/17;Sa.;15:30;Mainz;Hertha;0:0;1:0;;2.22;3.27;3.52
23/09/17;Sa.;15:30;Leipzig;Frankfurt;1:0;2:1;;1.79;3.68;4.74
23/09/17;Sa.;18:30;Dortmund;M'gladbach;3:0;6:1;;1.39;5.51;7.16
24/09/17;So.;15:30;Hannover;Köln;0:0;0:0;;2.03;3.52;3.80
24/09/17;So.;18:00;Leverkusen;Hamburg;2:0;3:0;;1.37;5.40;8.09
78.KHW
29/09/17;Fr.;20:30;Schalke;Leverkusen;1:0;1:1;;2.63;3.61;2.62
30/09/17;Sa.;15:30;Wolfsburg;Mainz;0:0;1:1;;2.18;3.34;3.55
30/09/17;Sa.;15:30;Frankfurt;Stuttgart;1:0;2:1;;2.12;3.31;3.75
30/09/17;Sa.;15:30;M'gladbach;Hannover;0:0;2:1;;1.71;4.11;4.73
30/09/17;Sa.;15:30;Augsburg;Dortmund;1:2;1:2;;5.58;4.47;1.57
30/09/17;Sa.;18:30;Hamburg;Bremen;0:0;0:0;;2.61;3.36;2.78
01/10/17;So.;13:30;Freiburg;Hoffenheim;2:1;3:2;;3.14;3.59;2.26
01/10/17;So.;15:30;Hertha;B. München;0:1;2:2;;10.68;6.01;1.28
01/10/17;So.;18:00;Köln;Leipzig;0:1;1:2;;3.71;3.43;2.09
82.KHW
13/10/17;Fr.;20:30;Stuttgart;Köln;1:0;2:1;;1.84;3.67;4.44
14/10/17;Sa.;15:30;Hoffenheim;Augsburg;0:0;2:2;;1.87;3.87;4.07
14/10/17;Sa.;15:30;Hannover;Frankfurt;1:1;1:2;;2.67;3.18;2.85
14/10/17;Sa.;15:30;Mainz;Hamburg;1:1;3:2;;1.80;3.68;4.72
14/10/17;Sa.;15:30;B. München;Freiburg;2:0;5:0;;1.07;13.19;31.88
14/10/17;Sa.;15:30;Hertha;Schalke;0:0;0:2;;2.67;3.14;2.88
14/10/17;Sa.;18:30;Dortmund;Leipzig;1:2;2:3;;1.54;4.50;5.90
15/10/17;So.;15:30;Leverkusen;Wolfsburg;1:1;2:2;;1.54;4.54;5.86
15/10/17;So.;18:00;Bremen;M'gladbach;0:2;0:2;;2.80;3.57;2.48
84.KHW
20/10/17;Fr.;20:30;Schalke;Mainz;1:0;2:0;;1.76;3.78;4.84
21/10/17;Sa.;15:30;M'gladbach;Leverkusen;1:0;1:5;;2.86;3.78;2.35
21/10/17;Sa.;15:30;Leipzig;Stuttgart;1:0;1:0;;1.43;5.07;7.06
21/10/17;Sa.;15:30;Augsburg;Hannover;1:0;1:2;;1.95;3.60;4.02
21/10/17;Sa.;15:30;Frankfurt;Dortmund;0:1;2:2;;3.65;3.78;1.99
21/10/17;Sa.;18:30;Hamburg;B. München;0:0;0:1;;12.10;7.00;1.23
22/10/17;So.;13:30;Köln;Bremen;0:0;0:0;;2.49;3.43;2.88
22/10/17;So.;15:30;Freiburg;Hertha;0:0;1:1;;3.01;3.16;2.55
22/10/17;So.;18:00;Wolfsburg;Hoffenheim;0:0;1:1;;2.60;3.61;2.64
86.KHW
27/10/17;Fr.;20:30;Mainz;Frankfurt;0:1;1:1;;2.90;3.36;2.52
28/10/17;Sa.;15:30;Hertha;Hamburg;1:0;2:1;;2.18;3.23;3.68
28/10/17;Sa.;15:30;Leverkusen;Köln;0:1;2:1;;1.39;5.36;7.46
28/10/17;Sa.;15:30;Hoffenheim;M'gladbach;1:0;1:3;;2.26;3.84;2.97
