Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
29/09/18;Sa.;16:00;Newcastle;Leicester;0:1;0:2;;2.80;3.14;2.75
29/09/18;Sa.;18:30;Chelsea;Liverpool;1:0;1:1;;2.75;3.49;2.56
30/09/18;So.;17:00;Cardiff;Burnley;0:0;1:2;;2.45;3.10;3.23
01/10/18;Mo.;21:00;Bournemouth;C Palace;1:0;2:1;;2.31;3.52;3.10
80.KHW
05/10/18;Fr.;21:00;Brighton;West Ham;1:0;1:0;;2.73;3.25;2.74
06/10/18;Sa.;16:00;Tottenham;Cardiff;1:0;1:0;;1.26;6.57;10.81
06/10/18;Sa.;16:00;Burnley;Huddersfield;1:0;1:1;;2.32;2.98;3.67
06/10/18;Sa.;16:00;C Palace;Wolves;0:0;0:1;;2.79;3.25;2.68
06/10/18;Sa.;16:00;Leicester;Everton;1:1;1:2;;2.27;3.32;3.35
06/10/18;Sa.;16:00;Watford;Bournemouth;0:3;0:4;;2.14;3.45;3.53
06/10/18;Sa.;18:30;Man Utd;Newcastle;0:2;3:2;;1.39;4.84;8.81
07/10/18;So.;13:00;Fulham;Arsenal;1:1;1:5;;4.77;4.50;1.64
07/10/18;So.;15:15;Southampton;Chelsea;0:1;0:3;;6.25;4.10;1.57
07/10/18;So.;17:30;Liverpool;Man City;0:0;0:0;;2.74;3.59;2.52
84.KHW
20/10/18;Sa.;13:30;Chelsea;Man Utd;1:0;2:2;;1.74;3.88;4.84
20/10/18;Sa.;16:00;Man City;Burnley;1:0;5:0;;1.07;14.02;29.65
20/10/18;Sa.;16:00;Wolves;Watford;0:2;0:2;;1.83;3.44;4.95
20/10/18;Sa.;16:00;Newcastle;Brighton;0:1;0:1;;2.16;3.16;3.83
20/10/18;Sa.;16:00;West Ham;Tottenham;0:1;0:1;;3.73;3.73;1.99
20/10/18;Sa.;16:00;Cardiff;Fulham;2:2;4:2;;2.51;3.46;2.84
20/10/18;Sa.;16:00;Bournemouth;Southampton;0:0;0:0;;2.17;3.52;3.39
20/10/18;Sa.;18:30;Huddersfield;Liverpool;0:1;0:1;;11.21;5.45;1.30
21/10/18;So.;17:00;Everton;C Palace;0:0;2:0;;1.78;3.68;4.86
22/10/18;Mo.;21:00;Arsenal;Leicester;1:1;3:1;;1.61;4.23;5.48
86.KHW
