Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
64.KHW
11/08/17;Fr.;20:45;Arsenal;Leicester;2:2;4:3;;1.52;4.52;6.20
12/08/17;Sa.;13:30;Watford;Liverpool;2:1;3:3;;6.20;4.19;1.56
12/08/17;Sa.;16:00;Southampton;Swansea;0:0;0:0;;1.57;4.09;6.24
12/08/17;Sa.;16:00;Chelsea;Burnley;0:3;2:3;;1.30;5.55;11.03
12/08/17;Sa.;16:00;Crystal Palace;Huddersfield;0:2;0:3;;1.84;3.57;4.64
12/08/17;Sa.;16:00;Everton;Stoke;1:0;1:0;;1.80;3.56;4.90
12/08/17;Sa.;16:00;West Bromwich;Bournemouth;1:0;1:0;;2.56;3.19;2.97
12/08/17;Sa.;18:30;Brighton;Man City;0:0;0:2;;9.63;5.76;1.31
13/08/17;So.;14:30;Newcastle;Tottenham;0:0;0:2;;4.57;3.83;1.79
13/08/17;So.;17:00;Man Utd;West Ham;1:0;4:0;;1.30;5.57;10.63
66.KHW
19/08/17;Sa.;13:30;Swansea;Man Utd;0:1;0:4;;9.91;5.17;1.34
19/08/17;Sa.;16:00;Liverpool;Crystal Palace;0:0;1:0;;1.39;5.11;8.09
19/08/17;Sa.;16:00;Bournemouth;Watford;0:0;0:2;;2.04;3.54;3.72
19/08/17;Sa.;16:00;Leicester;Brighton;1:0;2:0;;1.73;3.69;5.24
19/08/17;Sa.;16:00;Burnley;West Bromwich;0:0;0:1;;2.65;3.02;3.02
19/08/17;Sa.;16:00;Southampton;West Ham;2:1;3:2;;1.68;3.96;5.17
19/08/17;Sa.;18:30;Stoke;Arsenal;0:0;1:0;;4.16;3.86;1.85
20/08/17;So.;14:30;Huddersfield;Newcastle;0:0;1:0;;2.79;3.15;2.75
20/08/17;So.;17:00;Tottenham;Chelsea;0:1;1:2;;2.15;3.38;3.60
21/08/17;Mo.;21:00;Man City;Everton;0:1;1:1;;1.29;5.81;11.04
68.KHW
26/08/17;Sa.;13:30;Bournemouth;Man City;1:1;1:2;;10.39;6.33;1.27
26/08/17;Sa.;16:00;Watford;Brighton;0:0;0:0;;2.16;3.25;3.71
26/08/17;Sa.;16:00;Huddersfield;Southampton;0:0;0:0;;4.06;3.45;1.98
26/08/17;Sa.;16:00;Crystal Palace;Swansea;0:1;0:2;;2.05;3.32;3.98
26/08/17;Sa.;16:00;Newcastle;West Ham;1:0;3:0;;2.32;3.35;3.23
26/08/17;Sa.;18:30;Man Utd;Leicester;0:0;2:0;;1.32;5.58;9.62
27/08/17;So.;14:30;West Bromwich;Stoke;0:0;1:1;;2.56;3.14;3.02
27/08/17;So.;14:30;Chelsea;Everton;2:0;2:0;;1.52;4.33;6.61
27/08/17;So.;17:00;Tottenham;Burnley;0:0;1:1;;1.20;7.08;15.78
27/08/17;So.;17:00;Liverpool;Arsenal;2:0;4:0;;2.15;3.73;3.27
72.KHW
09/09/17;Sa.;13:30;Man City;Liverpool;2:0;5:0;;1.89;3.91;3.94
09/09/17;Sa.;16:00;Southampton;Watford;0:1;0:2;;1.66;3.91;5.50
09/09/17;Sa.;16:00;Arsenal;Bournemouth;2:0;3:0;;1.31;6.16;8.95
09/09/17;Sa.;16:00;Everton;Tottenham;0:2;0:3;;3.96;3.46;2.01
09/09/17;Sa.;16:00;Brighton;West Bromwich;1:0;3:1;;2.67;3.01;3.00
09/09/17;Sa.;16:00;Leicester;Chelsea;0:1;1:2;;4.53;3.80;1.80
09/09/17;Sa.;18:30;Stoke;Man Utd;1:1;2:2;;7.15;4.27;1.50
10/09/17;So.;14:30;Burnley;Crystal Palace;1:0;1:0;;2.18;3.27;3.62
10/09/17;So.;17:00;Swansea;Newcastle;0:0;0:1;;2.46;3.18;3.13
11/09/17;Mo.;21:00;West Ham;Huddersfield;0:0;2:0;;2.04;3.39;3.92
74.KHW
15/09/17;Fr.;21:00;Bournemouth;Brighton;0:0;2:1;;2.11;3.40;3.69
16/09/17;Sa.;13:30;Crystal Palace;Southampton;0:1;0:1;;2.86;3.17;2.66
16/09/17;Sa.;16:00;Liverpool;Burnley;1:1;1:1;;1.25;6.33;11.87
16/09/17;Sa.;16:00;Newcastle;Stoke;1:0;2:1;;2.14;3.34;3.66
16/09/17;Sa.;16:00;West Bromwich;West Ham;0:0;0:0;;2.30;3.25;3.35
16/09/17;Sa.;16:00;Watford;Man City;0:3;0:6;;9.49;5.73;1.32
16/09/17;Sa.;16:00;Huddersfield;Leicester;0:0;1:1;;3.45;3.31;2.23
16/09/17;Sa.;18:30;Tottenham;Swansea;0:0;0:0;;1.20;7.18;14.33
17/09/17;So.;14:30;Chelsea;Arsenal;0:0;0:0;;1.76;4.00;4.51
17/09/17;So.;17:00;Man Utd;Everton;1:0;4:0;;1.36;5.07;9.43
76.KHW
23/09/17;Sa.;13:30;West Ham;Tottenham;0:2;2:3;;5.54;4.29;1.60
23/09/17;Sa.;16:00;Man City;Crystal Palace;1:0;5:0;;1.13;9.38;21.78
23/09/17;Sa.;16:00;Everton;Bournemouth;0:0;2:1;;1.73;3.77;5.09
23/09/17;Sa.;16:00;Southampton;Man Utd;0:1;0:1;;4.59;3.59;1.84
23/09/17;Sa.;16:00;Swansea;Watford;0:1;1:2;;2.36;3.21;3.28
23/09/17;Sa.;16:00;Burnley;Huddersfield;0:0;0:0;;2.38;3.14;3.33
23/09/17;Sa.;16:00;Stoke;Chelsea;0:2;0:4;;6.42;4.40;1.52
23/09/17;Sa.;18:30;Leicester;Liverpool;1:2;2:3;;4.35;4.04;1.78
24/09/17;So.;17:00;Brighton;Newcastle;0:0;1:0;;2.82;3.12;2.74
25/09/17;Mo.;21:00;Arsenal;West Bromwich;1:0;2:0;;1.33;5.38;9.84
78.KHW
30/09/17;Sa.;13:30;Huddersfield;Tottenham;0:3;0:4;;8.44;4.60;1.42
30/09/17;Sa.;16:00;Man Utd;Crystal Palace;2:0;4:0;;1.20;6.89;15.96
30/09/17;Sa.;16:00;West Bromwich;Watford;2:1;2:2;;2.15;3.27;3.72
30/09/17;Sa.;16:00;Bournemouth;Leicester;0:0;0:0;;2.57;3.45;2.78
30/09/17;Sa.;16:00;West Ham;Swansea;0:0;1:0;;1.83;3.62;4.62
30/09/17;Sa.;16:00;Stoke;Southampton;1:0;2:1;;2.88;3.28;2.58
30/09/17;Sa.;18:30;Chelsea;Man City;0:0;0:1;;2.69;3.47;2.63
01/10/17;So.;13:00;Arsenal;Brighton;1:0;2:0;;1.25;6.21;12.38
01/10/17;So.;15:15;Everton;Burnley;0:1;0:1;;1.73;3.68;5.29
01/10/17;So.;17:30;Newcastle;Liverpool;1:1;1:1;;4.72;4.08;1.72
82.KHW
14/10/17;Sa.;13:30;Liverpool;Man Utd;0:0;0:0;;2.70;3.22;2.79
14/10/17;Sa.;16:00;Crystal Palace;Chelsea;2:1;2:1;;7.10;4.46;1.48
14/10/17;Sa.;16:00;Man City;Stoke;3:1;7:2;;1.12;9.89;20.72
14/10/17;Sa.;16:00;Burnley;West Ham;0:1;1:1;;3.04;3.19;2.52
14/10/17;Sa.;16:00;Tottenham;Bournemouth;0:0;1:0;;1.25;6.65;11.03
14/10/17;Sa.;16:00;Swansea;Huddersfield;1:0;2:0;;2.03;3.28;4.14
14/10/17;Sa.;18:30;Watford;Arsenal;0:1;2:1;;4.59;4.04;1.74
15/10/17;So.;14:30;Brighton;Everton;0:0;1:1;;3.15;3.09;2.51
15/10/17;So.;17:00;Southampton;Newcastle;0:1;2:2;;1.89;3.47;4.51
16/10/17;Mo.;21:00;Leicester;West Bromwich;0:0;1:1;;1.96;3.42;4.21
84.KHW
20/10/17;Fr.;21:00;West Ham;Brighton;0:2;0:3;;1.78;3.49;5.19
21/10/17;Sa.;13:30;Chelsea;Watford;1:1;4:2;;1.37;5.26;8.23
21/10/17;Sa.;16:00;Newcastle;Crystal Palace;0:0;1:0;;1.86;3.59;4.45
21/10/17;Sa.;16:00;Stoke;Bournemouth;0:2;1:2;;2.14;3.48;3.51
21/10/17;Sa.;16:00;Man City;Burnley;1:0;3:0;;1.11;10.38;22.50
21/10/17;Sa.;16:00;Huddersfield;Man Utd;2:0;2:1;;8.71;4.69;1.41
21/10/17;Sa.;16:00;Swansea;Leicester;0:1;1:2;;2.81;3.22;2.68
21/10/17;Sa.;18:30;Southampton;West Bromwich;0:0;1:0;;1.87;3.30;4.93
22/10/17;So.;14:30;Everton;Arsenal;1:1;2:5;;4.35;3.87;1.81
22/10/17;So.;17:00;Tottenham;Liverpool;3:1;4:1;;2.19;3.65;3.23
86.KHW
28/10/17;Sa.;13:30;Man Utd;Tottenham;0:0;1:0;;2.08;3.33;3.86
28/10/17;Sa.;16:00;West Bromwich;Man City;1:2;2:3;;11.55;5.92;1.27
28/10/17;Sa.;16:00;Liverpool;Huddersfield;0:0;3:0;;1.24;6.45;12.94
28/10/17;Sa.;16:00;Crystal Palace;West Ham;0:2;2:2;;2.52;3.15;3.06
28/10/17;Sa.;16:00;Arsenal;Swansea;0:1;2:1;;1.19;7.52;14.35
28/10/17;Sa.;16:00;Watford;Stoke;0:1;0:1;;1.99;3.57;3.87
28/10/17;Sa.;18:30;Bournemouth;Chelsea;0:0;0:1;;5.47;4.36;1.59
29/10/17;So.;14:30;Brighton;Southampton;0:1;1:1;;3.42;3.12;2.34
29/10/17;So.;17:00;Leicester;Everton;2:0;2:0;;2.02;3.50;3.85
30/10/17;Mo.;21:00;Burnley;Newcastle;0:0;1:0;;3.18;3.04;2.52
88.KHW
04/11/17;Sa.;13:30;Stoke;Leicester;1:1;2:2;;2.56;3.33;2.87
04/11/17;Sa.;16:00;Newcastle;Bournemouth;0:0;0:1;;1.80;3.67;4.70
04/11/17;Sa.;16:00;Swansea;Brighton;0:1;0:1;;2.54;3.05;3.14
04/11/17;Sa.;16:00;Southampton;Burnley;0:0;0:1;;1.64;3.75;6.11
04/11/17;Sa.;16:00;Huddersfield;West Bromwich;1:0;1:0;;2.89;2.89;2.87
04/11/17;Sa.;18:30;West Ham;Liverpool;0:2;1:4;;5.94;4.49;1.54
05/11/17;So.;13:00;Tottenham;Crystal Palace;0:0;1:0;;1.36;5.47;8.07
05/11/17;So.;15:15;Man City;Arsenal;1:0;3:1;;1.39;5.56;7.01
05/11/17;So.;17:30;Chelsea;Man Utd;0:0;1:0;;2.52;3.15;3.07
05/11/17;So.;17:30;Everton;Watford;0:0;3:2;;2.22;3.37;3.42
92.KHW
18/11/17;Sa.;13:30;Arsenal;Tottenham;2:0;2:0;;2.52;3.41;2.86
18/11/17;Sa.;16:00;Leicester;Man City;0:1;0:2;;7.44;5.69;1.37
18/11/17;Sa.;16:00;Liverpool;Southampton;2:0;3:0;;1.44;4.89;7.09
18/11/17;Sa.;16:00;Bournemouth;Huddersfield;2:0;4:0;;1.77;3.62;5.01
18/11/17;Sa.;16:00;Burnley;Swansea;2:0;2:0;;2.35;2.99;3.58
18/11/17;Sa.;16:00;West Bromwich;Chelsea;0:3;0:4;;6.71;4.09;1.55
18/11/17;Sa.;16:00;Crystal Palace;Everton;2:2;2:2;;2.22;3.22;3.59
18/11/17;Sa.;18:30;Man Utd;Newcastle;2:1;4:1;;1.28;5.66;11.83
19/11/17;So.;17:00;Watford;West Ham;1:0;2:0;;2.28;3.25;3.41
20/11/17;Mo.;21:00;Brighton;Stoke;1:2;2:2;;2.37;3.13;3.35
94.KHW
24/11/17;Fr.;21:00;West Ham;Leicester;1:1;1:1;;2.80;3.24;2.67
