Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
64.KHW
09/08/19;Fr.;21:00;Liverpool;Norwich;4:0;4:1;;1.15;10.73;15.42
10/08/19;Sa.;13:30;West Ham;Man City;0:1;0:5;;10.53;6.50;1.28
10/08/19;Sa.;16:00;Bournemouth;Sheff Utd;0:0;1:1;;1.99;3.62;3.97
10/08/19;Sa.;16:00;Burnley;Southampton;0:0;3:0;;2.65;3.25;2.88
10/08/19;Sa.;16:00;C Palace;Everton;0:0;0:0;;3.49;3.36;2.24
10/08/19;Sa.;16:00;Watford;Brighton;0:1;0:3;;2.06;3.29;4.18
10/08/19;Sa.;18:30;Tottenham;Aston Villa;0:1;3:1;;1.39;5.58;7.61
11/08/19;So.;15:00;Leicester;Wolves;0:0;0:0;;2.46;3.17;3.26
11/08/19;So.;15:00;Newcastle;Arsenal;0:0;0:1;;3.35;3.57;2.22
11/08/19;So.;17:30;Man Utd;Chelsea;1:0;4:0;;2.03;3.38;4.15
66.KHW
17/08/19;Sa.;13:30;Arsenal;Burnley;1:1;2:1;;1.41;5.23;7.84
17/08/19;Sa.;16:00;Aston Villa;Bournemouth;0:2;1:2;;2.28;3.70;3.11
17/08/19;Sa.;16:00;Brighton;West Ham;0:0;1:1;;2.25;3.47;3.37
17/08/19;Sa.;16:00;Southampton;Liverpool;0:1;1:2;;6.15;4.63;1.53
17/08/19;Sa.;16:00;Everton;Watford;1:0;1:0;;1.86;3.73;4.48
17/08/19;Sa.;16:00;Norwich;Newcastle;1:0;3:1;;2.18;3.43;3.59
17/08/19;Sa.;18:30;Man City;Tottenham;2:1;2:2;;1.38;5.51;8.09
18/08/19;So.;15:00;Sheff Utd;C Palace;0:0;1:0;;2.52;3.24;3.08
18/08/19;So.;17:30;Chelsea;Leicester;1:0;1:1;;1.75;3.96;4.85
19/08/19;Mo.;21:00;Wolves;Man Utd;0:1;1:1;;2.99;3.31;2.54
68.KHW
23/08/19;Fr.;21:00;Aston Villa;Everton;1:0;2:0;;3.03;3.45;2.44
24/08/19;Sa.;13:30;Norwich;Chelsea;2:2;2:3;;3.90;4.01;1.91
24/08/19;Sa.;16:00;Watford;West Ham;1:1;1:3;;2.21;3.56;3.39
24/08/19;Sa.;16:00;Brighton;Southampton;0:0;0:2;;2.32;3.34;3.33
24/08/19;Sa.;16:00;Man Utd;C Palace;0:1;1:2;;1.36;5.34;9.08
24/08/19;Sa.;16:00;Sheff Utd;Leicester;0:1;1:2;;3.25;3.28;2.39
24/08/19;Sa.;18:30;Liverpool;Arsenal;1:0;3:1;;1.49;4.97;6.31
25/08/19;So.;15:00;Bournemouth;Man City;1:2;1:3;;16.35;7.94;1.19
25/08/19;So.;17:30;Tottenham;Newcastle;0:1;0:1;;1.30;6.41;9.38
25/08/19;So.;17:30;Wolves;Burnley;0:1;1:1;;1.80;3.50;5.29
70.KHW
31/08/19;Sa.;13:30;Southampton;Man Utd;0:1;1:1;;4.10;3.55;1.98
31/08/19;Sa.;16:00;Chelsea;Sheff Utd;2:0;2:2;;1.48;4.72;7.03
31/08/19;Sa.;16:00;C Palace;Aston Villa;0:0;1:0;;2.27;3.54;3.27
31/08/19;Sa.;16:00;Leicester;Bournemouth;2:1;3:1;;1.69;4.14;5.05
31/08/19;Sa.;16:00;Man City;Brighton;2:0;4:0;;1.13;9.90;24.08
