Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
26/09/18;Mi.;19:00;Nimes;Guingamp;0:0;0:0;;2.08;3.46;3.71
26/09/18;Mi.;19:00;Amiens;Rennes;0:0;2:1;;3.37;3.19;2.33
26/09/18;Mi.;21:00;Paris SG;Reims;3:1;4:1;;1.13;9.59;19.71
78.KHW
28/09/18;Fr.;20:45;St. Étienne;Monaco;1:0;2:0;;1.88;3.81;4.08
29/09/18;Sa.;17:15;Nice;Paris SG;0:1;0:3;;8.43;5.68;1.34
29/09/18;Sa.;20:00;Straßburg;Dijon;1:0;3:0;;1.85;3.74;4.29
29/09/18;Sa.;20:00;Reims;Bordeaux;0:0;0:0;;2.23;3.08;3.74
29/09/18;Sa.;20:00;Caen;Amiens;1:0;1:0;;2.27;3.15;3.54
29/09/18;Sa.;20:00;Angers;Guingamp;0:1;0:1;;2.07;3.24;4.04
29/09/18;Sa.;20:00;Lyon;Nantes;1:0;1:1;;1.31;5.83;9.48
30/09/18;So.;15:00;Rennes;Toulouse;0:0;1:1;;1.86;3.69;4.31
30/09/18;So.;17:00;Montpellier;Nimes;2:0;3:0;;2.00;3.26;4.31
30/09/18;So.;21:00;Lille;Marseille;0:0;3:0;;2.99;3.45;2.40
80.KHW
05/10/18;Fr.;20:45;Toulouse;Nice;0:1;1:1;;2.31;3.37;3.22
06/10/18;Sa.;17:00;Lille;St. Étienne;1:1;3:1;;2.12;3.55;3.48
06/10/18;Sa.;20:00;Nimes;Reims;0:0;0:0;;2.67;3.19;2.84
06/10/18;Sa.;20:00;Angers;Straßburg;0:2;2:2;;2.22;3.19;3.62
06/10/18;Sa.;20:00;Guingamp;Montpellier;0:1;1:1;;2.90;3.02;2.75
06/10/18;Sa.;20:00;Amiens;Dijon;1:0;1:0;;2.26;3.31;3.38
07/10/18;So.;15:00;Bordeaux;Nantes;3:0;3:0;;2.41;3.13;3.27
07/10/18;So.;17:00;Monaco;Rennes;0:1;1:2;;2.10;3.53;3.56
07/10/18;So.;17:00;Marseille;Caen;2:0;2:0;;1.36;5.19;8.71
07/10/18;So.;21:00;Paris SG;Lyon;1:0;5:0;;1.26;6.98;9.90
84.KHW
19/10/18;Fr.;20:45;Lyon;Nimes;1:0;2:0;;1.31;6.02;8.86
20/10/18;Sa.;17:00;Paris SG;Amiens;2:0;5:0;;1.11;11.15;19.15
20/10/18;Sa.;20:00;Reims;Angers;0:1;1:1;;2.29;3.02;3.66
20/10/18;Sa.;20:00;Caen;Guingamp;0:0;0:0;;2.26;3.19;3.52
20/10/18;Sa.;20:00;Dijon;Lille;0:2;1:2;;3.58;3.57;2.08
20/10/18;Sa.;20:00;Nantes;Toulouse;2:0;4:0;;1.97;3.42;4.16
20/10/18;Sa.;20:00;Straßburg;Monaco;1:0;2:1;;2.52;3.52;2.78
21/10/18;So.;15:00;Montpellier;Bordeaux;1:0;2:0;;2.04;3.12;4.37
21/10/18;So.;17:00;St. Étienne;Rennes;1:1;1:1;;2.37;3.31;3.16
21/10/18;So.;21:00;Nice;Marseille;0:1;0:1;;3.02;3.58;2.33
86.KHW
26/10/18;Fr.;20:45;Nimes;St. Étienne;0:1;1:1;;2.68;3.30;2.75
27/10/18;Sa.;17:00;Angers;Lyon;0:0;1:2;;3.78;3.58;2.02
27/10/18;Sa.;20:00;Monaco;Dijon;1:1;2:2;;1.67;4.12;5.09
27/10/18;Sa.;20:00;Toulouse;Montpellier;0:2;0:3;;3.26;3.04;2.47
27/10/18;Sa.;20:00;Lille;Caen;0:0;1:0;;1.64;3.86;5.83
27/10/18;Sa.;20:00;Amiens;Nantes;0:1;1:2;;3.00;3.06;2.63
27/10/18;Sa.;20:00;Guingamp;Straßburg;1:0;1:1;;2.62;3.16;2.93
28/10/18;So.;15:00;Rennes;Reims;0:1;0:2;;1.75;3.55;5.32
28/10/18;So.;17:00;Bordeaux;Nice;0:0;0:1;;2.33;3.29;3.26
28/10/18;So.;21:00;Marseille;Paris SG;0:0;0:2;;5.42;4.29;1.61
88.KHW
02/11/18;Fr.;20:45;Paris SG;Lille;0:0;2:1;;1.18;8.22;14.57
03/11/18;Sa.;17:00;Lyon;Bordeaux;1:0;1:1;;1.47;4.77;6.65
03/11/18;Sa.;20:00;Reims;Monaco;1:0;1:0;;2.49;3.30;2.98
03/11/18;Sa.;20:00;Caen;Rennes;0:0;1:2;;3.61;3.24;2.20
03/11/18;Sa.;20:00;Dijon;Nimes;0:2;0:4;;2.52;3.43;2.85
03/11/18;Sa.;20:00;Straßburg;Toulouse;0:0;1:1;;1.98;3.50;4.04
03/11/18;Sa.;20:00;Nice;Amiens;1:0;1:0;;1.78;3.36;5.48
04/11/18;So.;15:00;Nantes;Guingamp;1:0;5:0;;1.76;3.42;5.60
04/11/18;So.;17:00;St. Étienne;Angers;2:2;4:3;;1.81;3.54;4.88
04/11/18;So.;21:00;Montpellier;Marseille;0:0;3:0;;3.17;3.34;2.35
90.KHW
09/11/18;Fr.;20:45;Lille;Straßburg;0:0;0:0;;1.73;3.63;5.37
10/11/18;Sa.;17:00;Guingamp;Lyon;1:0;2:4;;4.83;3.93;1.73
10/11/18;Sa.;20:00;St. Étienne;Reims;2:0;2:0;;1.85;3.57;4.54
10/11/18;Sa.;20:00;Toulouse;Amiens;0:1;0:1;;2.31;3.11;3.50
10/11/18;Sa.;20:00;Angers;Montpellier;0:0;1:0;;2.82;3.03;2.81
10/11/18;Sa.;20:00;Nimes;Nice;0:0;0:1;;2.36;3.36;3.13
11/11/18;So.;15:00;Bordeaux;Caen;0:0;0:0;;1.67;3.77;5.65
11/11/18;So.;17:00;Rennes;Nantes;1:1;1:1;;2.32;3.25;3.32
11/11/18;So.;17:00;Marseille;Dijon;1:0;2:0;;1.32;5.62;9.36
11/11/18;So.;21:00;Monaco;Paris SG;0:2;0:4;;15.29;8.71;1.16
94.KHW
23/11/18;Fr.;21:00;Lyon;St. Étienne;0:0;1:0;;1.63;4.02;5.58
24/11/18;Sa.;17:00;Paris SG;Toulouse;1:0;1:0;;1.11;10.39;23.14
24/11/18;Sa.;20:00;Caen;Monaco;0:0;0:1;;2.98;3.25;2.52
24/11/18;Sa.;20:00;Dijon;Bordeaux;0:0;0:0;;3.01;3.20;2.53
24/11/18;Sa.;20:00;Straßburg;Nimes;0:0;0:1;;2.21;3.28;3.53
