Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
64.KHW
09/08/19;Fr.;20:45;Monaco;Lyon;0:2;0:3;;3.46;3.63;2.15
10/08/19;Sa.;17:30;Marseille;Reims;0:0;0:2;;1.78;3.67;5.09
10/08/19;Sa.;20:00;Dijon;St. Étienne;1:2;1:2;;3.84;3.47;2.08
10/08/19;Sa.;20:00;Montpellier;Rennes;0:1;0:1;;2.28;3.26;3.51
10/08/19;Sa.;20:00;Nice;Amiens;1:0;2:1;;2.35;3.02;3.65
10/08/19;Sa.;20:00;Brest;Toulouse;1:0;1:1;;2.09;3.45;3.83
10/08/19;Sa.;20:00;Angers;Bordeaux;3:1;3:1;;2.10;3.17;4.20
11/08/19;So.;15:00;Lille;Nantes;1:0;2:1;;2.38;3.15;3.43
11/08/19;So.;17:00;Straßburg;Metz;1:0;1:1;;2.30;3.05;3.74
11/08/19;So.;21:00;Paris SG;Nimes;1:0;3:0;;1.09;12.16;29.09
66.KHW
16/08/19;Fr.;20:45;Lyon;Angers;3:0;6:0;;1.51;4.59;6.68
17/08/19;Sa.;17:30;Nantes;Marseille;0:0;0:0;;2.49;3.24;3.13
17/08/19;Sa.;20:00;Bordeaux;Montpellier;0:1;1:1;;2.60;3.02;3.18
17/08/19;Sa.;20:00;Amiens;Lille;0:0;1:0;;3.32;3.13;2.44
17/08/19;Sa.;20:00;Toulouse;Dijon;0:0;1:0;;2.02;3.51;3.99
17/08/19;Sa.;20:00;Nimes;Nice;1:2;1:2;;2.12;3.41;3.76
17/08/19;Sa.;20:00;Metz;Monaco;1:0;3:0;;3.17;3.14;2.53
18/08/19;So.;15:00;St. Étienne;Brest;0:1;1:1;;1.67;4.05;5.44
18/08/19;So.;17:00;Reims;Straßburg;0:0;0:0;;2.10;3.23;4.09
18/08/19;So.;21:00;Rennes;Paris SG;1:1;2:1;;7.74;5.35;1.40
68.KHW
24/08/19;Sa.;20:00;Angers;Metz;2:0;3:0;;2.17;3.15;3.97
24/08/19;Sa.;20:00;Brest;Reims;0:0;1:0;;2.69;3.13;2.96
24/08/19;Sa.;20:00;Amiens;Nantes;0:0;1:2;;2.89;2.99;2.86
24/08/19;Sa.;20:00;Dijon;Bordeaux;0:1;0:2;;3.02;3.07;2.68
25/08/19;So.;15:00;Monaco;Nimes;2:0;2:2;;1.68;4.00;5.41
25/08/19;So.;17:00;Straßburg;Rennes;0:1;0:2;;2.89;3.13;2.75
25/08/19;So.;21:00;Paris SG;Toulouse;0:0;4:0;;1.11;11.37;25.20
69.KHW
27/08/19;Di.;19:00;Montpellier;Lyon;1:0;1:0;;3.98;3.69;1.97
28/08/19;Mi.;19:00;Lille;St. Étienne;1:0;3:0;;2.16;3.48;3.58
28/08/19;Mi.;21:00;Nice;Marseille;0:1;1:2;;3.57;3.17;2.30
70.KHW
30/08/19;Fr.;20:45;Metz;Paris SG;0:2;0:2;;6.39;4.46;1.54
31/08/19;Sa.;17:30;Lyon;Bordeaux;1:0;1:1;;1.60;4.10;6.26
31/08/19;Sa.;20:00;Nimes;Brest;2:0;3:0;;2.01;3.38;4.22
31/08/19;Sa.;20:00;Angers;Dijon;0:0;2:0;;1.72;3.79;5.44
31/08/19;Sa.;20:00;Toulouse;Amiens;0:0;2:0;;2.33;3.29;3.37
31/08/19;Sa.;20:00;Nantes;Montpellier;0:0;1:0;;2.60;3.11;3.09
01/09/19;So.;15:00;Reims;Lille;0:0;2:0;;2.96;3.05;2.75
01/09/19;So.;15:00;Rennes;Nice;1:0;1:2;;1.79;3.67;5.06
01/09/19;So.;17:00;Straßburg;Monaco;1:2;2:2;;2.51;3.31;3.04
01/09/19;So.;21:00;Marseille;St. Étienne;1:0;1:0;;1.86;3.71;4.52
74.KHW
13/09/19;Fr.;19:00;Lille;Angers;1:0;2:1;;1.93;3.53;4.38
13/09/19;Fr.;20:45;Amiens;Lyon;1:2;2:2;;4.07;3.61;1.97
14/09/19;Sa.;17:30;Paris SG;Straßburg;0:0;1:0;;1.19;7.76;16.05
14/09/19;Sa.;20:00;Brest;Rennes;0:0;0:0;;3.20;3.24;2.44
14/09/19;Sa.;20:00;Montpellier;Nice;1:1;2:1;;1.97;3.50;4.23
14/09/19;Sa.;20:00;Bordeaux;Metz;2:0;2:0;;2.08;3.14;4.32
14/09/19;Sa.;20:00;Dijon;Nimes;0:0;0:0;;2.87;3.40;2.58
15/09/19;So.;15:00;Nantes;Reims;0:0;1:0;;2.26;3.13;3.72
15/09/19;So.;17:00;St. Étienne;Toulouse;1:2;2:2;;1.63;4.30;5.45
15/09/19;So.;21:00;Monaco;Marseille;2:2;3:4;;2.05;3.69;3.68
76.KHW
20/09/19;Fr.;20:45;Straßburg;Nantes;0:1;2:1;;2.37;3.10;3.51
21/09/19;Sa.;17:30;Marseille;Montpellier;0:1;1:1;;2.04;3.37;4.10
21/09/19;Sa.;20:00;Reims;Monaco;0:0;0:0;;2.53;3.32;3.00
21/09/19;Sa.;20:00;Metz;Amiens;0:1;1:2;;2.29;3.10;3.69
21/09/19;Sa.;20:00;Nice;Dijon;1:1;2:1;;1.80;3.59;5.10
21/09/19;Sa.;20:00;Bordeaux;Brest;1:2;2:2;;1.80;3.60;5.09
21/09/19;Sa.;20:00;Nimes;Toulouse;1:0;1:0;;2.18;3.49;3.50
22/09/19;So.;15:00;Rennes;Lille;0:0;1:1;;2.96;3.16;2.66
22/09/19;So.;17:00;Angers;St. Étienne;0:1;4:1;;2.12;3.33;3.88
22/09/19;So.;21:00;Lyon;Paris SG;0:0;0:1;;3.81;4.08;1.91
77.KHW
24/09/19;Di.;19:00;Dijon;Marseille;0:0;0:0;;3.40;3.37;2.27
24/09/19;Di.;21:00;Monaco;Nice;1:0;3:1;;1.90;3.80;4.16
25/09/19;Mi.;19:00;Brest;Lyon;1:1;2:2;;4.47;4.10;1.78
25/09/19;Mi.;19:00;Nantes;Rennes;0:0;1:0;;2.45;3.09;3.36
25/09/19;Mi.;19:00;St. Étienne;Metz;0:1;0:1;;1.99;3.55;4.07
25/09/19;Mi.;19:00;Montpellier;Nimes;1:0;1:0;;2.04;3.40;4.08
25/09/19;Mi.;19:00;Toulouse;Angers;0:0;0:2;;2.74;3.26;2.78
25/09/19;Mi.;19:00;Lille;Straßburg;1:0;2:0;;1.81;3.59;5.00
25/09/19;Mi.;19:00;Amiens;Bordeaux;1:2;1:3;;2.69;3.02;3.06
25/09/19;Mi.;21:00;Paris SG;Reims;0:1;0:2;;1.31;5.96;10.12
78.KHW
28/09/19;Sa.;13:30;Lyon;Nantes;0:0;0:1;;1.57;4.45;5.99
28/09/19;Sa.;17:30;Bordeaux;Paris SG;0:0;0:1;;7.05;4.88;1.46
28/09/19;Sa.;20:00;Angers;Amiens;0:1;1:1;;1.68;3.59;6.39
28/09/19;Sa.;20:00;Metz;Toulouse;1:0;2:2;;2.17;3.33;3.73
28/09/19;Sa.;20:00;Nice;Lille;1:1;1:1;;3.08;3.33;2.47
28/09/19;Sa.;20:00;Reims;Dijon;1:1;1:2;;1.71;3.70;5.70
28/09/19;Sa.;20:00;Monaco;Brest;1:0;4:1;;1.43;4.91;8.01
29/09/19;So.;15:00;Straßburg;Montpellier;1:0;1:0;;2.31;3.12;3.61
29/09/19;So.;17:00;Nimes;St. Étienne;0:0;0:1;;2.53;3.44;2.90
29/09/19;So.;21:00;Marseille;Rennes;0:1;1:1;;1.99;3.49;4.14
80.KHW
04/10/19;Fr.;20:45;Amiens;Marseille;2:1;3:1;;3.17;3.45;2.36
05/10/19;Sa.;17:30;Paris SG;Angers;2:0;4:0;;1.20;7.83;14.72
05/10/19;Sa.;20:00;Dijon;Straßburg;1:0;1:0;;3.09;3.01;2.67
05/10/19;Sa.;20:00;Toulouse;Bordeaux;0:2;1:3;;2.50;3.26;3.10
05/10/19;Sa.;20:00;Brest;Metz;2:0;2:0;;2.73;3.21;2.84
05/10/19;Sa.;20:00;Nantes;Nice;0:0;1:0;;2.12;3.33;3.87
05/10/19;Sa.;20:00;Montpellier;Monaco;2:0;3:1;;3.20;3.45;2.34
06/10/19;So.;15:00;Lille;Nimes;1:1;2:2;;1.63;4.04;5.96
06/10/19;So.;17:00;Rennes;Reims;0:0;0:1;;2.51;3.10;3.23
06/10/19;So.;21:00;St. Étienne;Lyon;0:0;1:0;;4.07;3.54;2.00
84.KHW
18/10/19;Fr.;20:45;Nice;Paris SG;0:2;1:4;;8.46;5.09;1.40
19/10/19;Sa.;17:30;Lyon;Dijon;0:0;0:0;;1.38;5.23;8.59
19/10/19;Sa.;20:00;Metz;Nantes;0:0;1:0;;2.49;3.13;3.23
19/10/19;Sa.;20:00;Toulouse;Lille;0:0;2:1;;3.30;3.35;2.33
19/10/19;Sa.;20:00;Angers;Brest;0:0;0:1;;1.63;4.00;5.97
19/10/19;Sa.;20:00;Nimes;Amiens;1:0;1:1;;2.37;3.32;3.26
19/10/19;Sa.;20:00;Reims;Montpellier;1:0;1:0;;2.30;3.01;3.81
20/10/19;So.;15:00;Bordeaux;St. Étienne;0:0;0:1;;2.48;3.16;3.23
20/10/19;So.;17:00;Monaco;Rennes;1:1;3:2;;1.73;4.00;4.92
20/10/19;So.;21:00;Marseille;Straßburg;1:0;2:0;;1.84;3.56;4.87
86.KHW
25/10/19;Fr.;20:45;Nantes;Monaco;0:1;0:1;;3.08;3.36;2.45
26/10/19;Sa.;17:30;Lille;Bordeaux;1:0;3:0;;1.92;3.49;4.50
26/10/19;Sa.;20:00;Straßburg;Nice;1:0;1:0;;1.94;3.36;4.59
26/10/19;Sa.;20:00;Reims;Nimes;0:0;0:0;;1.65;3.81;6.22
26/10/19;Sa.;20:00;Brest;Dijon;0:0;2:0;;2.41;3.35;3.16
26/10/19;Sa.;20:00;Lyon;Metz;2:0;2:0;;1.48;4.54;7.54
26/10/19;Sa.;20:00;Montpellier;Angers;0:0;0:0;;2.23;3.24;3.66
27/10/19;So.;15:00;Rennes;Toulouse;2:1;3:2;;1.88;3.78;4.31
27/10/19;So.;17:00;St. Étienne;Amiens;1:0;2:2;;2.33;3.26;3.40
27/10/19;So.;21:00;Paris SG;Marseille;4:0;4:0;;1.22;7.64;12.83
88.KHW
01/11/19;Fr.;20:45;Dijon;Paris SG;1:1;2:1;;11.00;6.62;1.27
02/11/19;Sa.;17:30;Marseille;Lille;0:0;2:1;;2.10;3.29;4.00
02/11/19;Sa.;20:00;Metz;Montpellier;1:0;2:2;;3.25;3.02;2.56
02/11/19;Sa.;20:00;Toulouse;Lyon;1:1;2:3;;4.68;4.06;1.75
02/11/19;Sa.;20:00;Angers;Straßburg;1:0;1:0;;2.19;3.19;3.83
02/11/19;Sa.;20:00;Amiens;Brest;1:0;1:0;;1.63;3.98;6.04
03/11/19;So.;15:00;Bordeaux;Nantes;1:0;2:0;;2.53;2.94;3.39
03/11/19;So.;17:00;Nice;Reims;2:0;2:0;;2.92;3.06;2.77
03/11/19;So.;21:00;St. Étienne;Monaco;0:0;1:0;;3.09;3.50;2.38
90.KHW
08/11/19;Fr.;20:45;Nice;Bordeaux;;;;2.53;3.19;3.11
09/11/19;Sa.;17:30;Brest;Paris SG;;;;13.76;7.17;1.22
