Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
62.KHW
04/08/17;Fr.;20:45;Monaco;Toulouse;1:1;3:2;;1.31;5.57;10.30
05/08/17;Sa.;17:15;Paris St.-Germain;SC Amiens;1:0;2:0;;1.09;11.17;29.11
05/08/17;Sa.;20:00;Ol. Lyon;Straßburg;1:0;4:0;;1.35;5.46;8.60
05/08/17;Sa.;20:00;Metz;Guingamp;1:1;1:3;;2.98;3.25;2.52
05/08/17;Sa.;20:00;Montpellier;Caen;0:0;1:0;;1.82;3.60;4.71
05/08/17;Sa.;20:00;St. Etienne;Nice;1:0;1:0;;2.40;3.16;3.26
05/08/17;Sa.;20:00;Troyes;Rennes;0:0;1:1;;2.94;3.17;2.60
06/08/17;So.;15:00;Lille;Nantes;0:0;3:0;;2.13;3.26;3.78
06/08/17;So.;17:00;Angers;Bordeaux;1:1;2:2;;2.49;3.08;3.18
06/08/17;So.;21:00;Ol. Marseille;Dijon;0:0;3:0;;1.29;5.84;10.57
64.KHW
11/08/17;Fr.;19:00;Nice;Troyes;0:0;1:2;;1.49;4.38;7.11
11/08/17;Fr.;20:45;Rennes;Ol. Lyon;0:0;1:2;;3.68;3.57;2.05
12/08/17;Sa.;17:00;Nantes;Ol. Marseille;0:0;0:1;;3.06;3.25;2.46
12/08/17;Sa.;20:00;Bordeaux;Metz;1:0;2:0;;1.41;4.94;7.66
12/08/17;Sa.;20:00;Toulouse;Montpellier;1:0;1:0;;2.33;3.19;3.35
12/08/17;Sa.;20:00;SC Amiens;Angers;0:1;0:2;;3.17;3.09;2.49
12/08/17;Sa.;20:00;Caen;St. Etienne;0:0;0:1;;2.97;3.06;2.66
13/08/17;So.;15:00;Straßburg;Lille;0:0;3:0;;3.52;3.49;2.13
13/08/17;So.;17:00;Dijon;Monaco;1:3;1:4;;6.39;4.30;1.54
13/08/17;So.;21:00;Guingamp;Paris St.-Germain;0:0;0:3;;12.35;6.57;1.24
66.KHW
18/08/17;Fr.;20:45;Metz;Monaco;0:0;0:1;;7.92;5.50;1.37
19/08/17;Sa.;17:00;Ol. Lyon;Bordeaux;2:1;3:3;;1.71;4.05;4.81
19/08/17;Sa.;20:00;Rennes;Dijon;1:0;2:2;;1.74;3.76;5.06
19/08/17;Sa.;20:00;Nice;Guingamp;1:0;2:0;;1.87;3.56;4.44
19/08/17;Sa.;20:00;Troyes;Nantes;0:0;0:1;;2.51;3.20;3.03
19/08/17;Sa.;20:00;St. Etienne;SC Amiens;2:0;3:0;;1.66;3.76;5.86
19/08/17;Sa.;20:00;Montpellier;Straßburg;0:1;1:1;;1.97;3.43;4.13
20/08/17;So.;15:00;Lille;Caen;0:1;0:2;;1.77;3.82;4.71
20/08/17;So.;17:00;Ol. Marseille;Angers;1:0;1:1;;1.71;3.80;5.20
20/08/17;So.;21:00;Paris St.-Germain;Toulouse;2:1;6:2;;1.09;11.88;28.41
68.KHW
25/08/17;Fr.;20:45;Paris St.-Germain;St. Etienne;1:0;3:0;;1.10;10.93;25.14
26/08/17;Sa.;17:15;Nantes;Ol. Lyon;0:0;0:0;;3.51;3.52;2.12
26/08/17;Sa.;20:00;SC Amiens;Nice;2:0;3:0;;3.11;3.20;2.46
26/08/17;Sa.;20:00;Bordeaux;Troyes;1:0;2:1;;1.40;4.92;8.32
26/08/17;Sa.;20:00;Dijon;Montpellier;1:0;2:1;;2.55;3.26;2.93
26/08/17;Sa.;20:00;Caen;Metz;0:0;1:0;;1.80;3.65;4.75
26/08/17;Sa.;20:00;Toulouse;Rennes;1:1;3:2;;2.31;3.18;3.41
27/08/17;So.;15:00;Guingamp;Straßburg;0:0;2:0;;1.76;3.73;4.92
27/08/17;So.;17:00;Angers;Lille;0:0;1:1;;2.12;3.32;3.75
27/08/17;So.;21:00;Monaco;Ol. Marseille;4:0;6:1;;1.59;4.43;5.34
72.KHW
08/09/17;Fr.;19:00;Lille;Bordeaux;0:0;0:0;;2.75;3.34;2.65
08/09/17;Fr.;20:45;Metz;Paris St.-Germain;1:1;1:5;;26.98;10.35;1.10
09/09/17;Sa.;17:00;Nice;Monaco;2:0;4:0;;4.48;3.97;1.77
09/09/17;Sa.;20:00;Straßburg;SC Amiens;0:1;0:1;;2.00;3.47;3.98
09/09/17;Sa.;20:00;Caen;Dijon;1:1;2:1;;1.86;3.58;4.46
09/09/17;Sa.;20:00;Montpellier;Nantes;0:0;0:1;;2.22;3.12;3.71
09/09/17;Sa.;20:00;Troyes;Toulouse;0:0;0:0;;2.84;3.24;2.64
10/09/17;So.;15:00;St. Etienne;Angers;1:1;1:1;;2.13;3.20;3.89
10/09/17;So.;17:00;Ol. Lyon;Guingamp;1:0;2:1;;1.40;5.19;7.52
10/09/17;So.;21:00;Ol. Marseille;Rennes;0:2;1:3;;1.57;4.38;5.75
74.KHW
15/09/17;Fr.;20:45;Toulouse;Bordeaux;0:0;0:1;;3.16;3.16;2.46
16/09/17;Sa.;17:00;Monaco;Straßburg;1:0;3:0;;1.29;6.09;10.13
16/09/17;Sa.;20:00;Troyes;Montpellier;0:1;0:1;;3.06;3.18;2.50
16/09/17;Sa.;20:00;Dijon;St. Etienne;0:0;0:1;;2.71;3.15;2.83
16/09/17;Sa.;20:00;Guingamp;Lille;0:0;1:0;;2.07;3.39;3.82
16/09/17;Sa.;20:00;Nantes;Caen;0:0;1:0;;2.01;3.25;4.28
17/09/17;So.;15:00;SC Amiens;Ol. Marseille;0:0;0:2;;3.43;3.48;2.17
17/09/17;So.;17:00;Rennes;Nice;0:0;0:1;;2.38;3.40;3.07
17/09/17;So.;17:00;Angers;Metz;0:0;0:1;;1.56;4.14;6.36
17/09/17;So.;21:00;Paris St.-Germain;Ol. Lyon;0:0;2:0;;1.17;8.65;14.35
76.KHW
22/09/17;Fr.;19:00;Nice;Angers;1:2;2:2;;1.79;3.62;4.90
22/09/17;Fr.;20:45;Lille;Monaco;0:2;0:4;;4.78;3.95;1.73
23/09/17;Sa.;17:00;Montpellier;Paris St.-Germain;0:0;0:0;;11.89;6.11;1.26
23/09/17;Sa.;20:00;Metz;Troyes;0:0;0:1;;2.16;3.32;3.63
23/09/17;Sa.;20:00;Caen;SC Amiens;0:0;1:0;;1.94;3.30;4.53
23/09/17;Sa.;20:00;Ol. Lyon;Dijon;1:1;3:3;;1.37;5.44;7.79
23/09/17;Sa.;20:00;Bordeaux;Guingamp;1:0;3:1;;1.70;3.86;5.16
24/09/17;So.;15:00;St. Etienne;Rennes;1:1;2:2;;2.33;3.23;3.32
24/09/17;So.;17:00;Straßburg;Nantes;1:2;1:2;;2.59;3.03;3.09
24/09/17;So.;21:00;Ol. Marseille;Toulouse;1:0;2:0;;1.55;4.25;6.25
78.KHW
29/09/17;Fr.;20:45;Monaco;Montpellier;1:0;1:1;;1.36;5.23;8.94
30/09/17;Sa.;17:00;Paris St.-Germain;Bordeaux;5:1;6:2;;1.17;8.26;14.82
30/09/17;Sa.;20:00;SC Amiens;Lille;;;v.S.;2.68;3.11;2.90
30/09/17;Sa.;20:00;Rennes;Caen;0:1;0:1;;1.91;3.45;4.43
30/09/17;Sa.;20:00;Guingamp;Toulouse;1:1;1:1;;1.87;3.54;4.48
30/09/17;Sa.;20:00;Dijon;Straßburg;0:0;1:1;;2.18;3.41;3.48
30/09/17;Sa.;20:00;Nantes;Metz;1:0;1:0;;1.62;3.87;6.04
01/10/17;So.;15:00;Troyes;St. Etienne;1:0;2:1;;3.83;3.22;2.14
01/10/17;So.;17:00;Angers;Ol. Lyon;1:3;3:3;;3.32;3.50;2.21
01/10/17;So.;21:00;Nice;Ol. Marseille;2:3;2:4;;2.44;3.47;2.93
82.KHW
13/10/17;Fr.;20:45;Ol. Lyon;Monaco;2:2;3:2;;1.90;4.12;3.67
14/10/17;Sa.;17:00;Dijon;Paris St.-Germain;0:0;1:2;;15.29;8.34;1.17
14/10/17;Sa.;20:00;Guingamp;Rennes;0:0;2:0;;2.11;3.42;3.66
14/10/17;Sa.;20:00;St. Etienne;Metz;0:1;3:1;;1.66;3.87;5.62
14/10/17;Sa.;20:00;Lille;Troyes;1:1;2:2;;1.69;3.84;5.37
14/10/17;Sa.;20:00;Toulouse;SC Amiens;1:0;1:0;;1.86;3.32;4.99
14/10/17;Sa.;20:00;Caen;Angers;0:0;0:2;;2.42;3.15;3.23
15/10/17;So.;15:00;Bordeaux;Nantes;0:1;1:1;;1.65;3.81;5.82
15/10/17;So.;17:00;Montpellier;Nice;0:0;2:0;;2.71;3.14;2.84
15/10/17;So.;21:00;Straßburg;Ol. Marseille;1:1;3:3;;3.94;3.69;1.94
84.KHW
20/10/17;Fr.;20:45;St. Etienne;Montpellier;0:1;0:1;;2.19;3.15;3.76
21/10/17;Sa.;17:00;Monaco;Caen;1:0;2:0;;1.41;5.04;7.56
21/10/17;Sa.;20:00;Metz;Dijon;1:1;1:2;;2.72;3.29;2.71
21/10/17;Sa.;20:00;Angers;Toulouse;0:1;0:1;;2.00;3.33;4.18
21/10/17;Sa.;20:00;SC Amiens;Bordeaux;0:0;1:0;;6.00;3.86;1.63
21/10/17;Sa.;20:00;Rennes;Lille;1:0;1:0;;2.13;3.26;3.79
21/10/17;Sa.;20:00;Nantes;Guingamp;1:0;2:1;;2.26;3.12;3.61
22/10/17;So.;15:00;Nice;Straßburg;0:1;1:2;;1.75;3.83;4.82
22/10/17;So.;17:00;Troyes;Ol. Lyon;0:1;0:5;;5.83;4.44;1.55
22/10/17;So.;21:00;Ol. Marseille;Paris St.-Germain;1:1;2:2;;7.82;5.91;1.35
86.KHW
27/10/17;Fr.;20:45;Paris St.-Germain;Nice;2:0;3:0;;1.16;8.88;16.24
28/10/17;Sa.;17:00;Bordeaux;Monaco;0:0;0:2;;2.53;3.48;2.80
28/10/17;Sa.;20:00;Dijon;Nantes;1:0;1:0;;2.70;3.09;2.89
28/10/17;Sa.;20:00;Guingamp;SC Amiens;1:1;1:1;;1.90;3.43;4.53
28/10/17;Sa.;20:00;Caen;Troyes;1:0;1:0;;1.68;3.72;5.72
28/10/17;Sa.;20:00;Montpellier;Rennes;0:0;0:1;;2.03;3.20;4.24
28/10/17;Sa.;20:00;Straßburg;Angers;1:0;2:2;;2.90;3.33;2.53
29/10/17;So.;15:00;Ol. Lyon;Metz;2:0;2:0;;1.17;8.42;15.26
29/10/17;So.;17:00;Toulouse;St. Etienne;0:0;0:0;;2.42;3.09;3.29
29/10/17;So.;21:00;Lille;Ol. Marseille;0:1;0:1;;3.18;3.54;2.26
88.KHW
03/11/17;Fr.;20:45;Rennes;Bordeaux;1:0;1:0;;3.28;3.21;2.36
04/11/17;Sa.;17:00;Angers;Paris St.-Germain;0:3;0:5;;10.25;6.35;1.27
04/11/17;Sa.;20:00;Montpellier;SC Amiens;0:0;1:1;;1.68;3.61;6.03
04/11/17;Sa.;20:00;Troyes;Straßburg;0:0;3:0;;2.76;3.33;2.65
04/11/17;Sa.;20:00;Monaco;Guingamp;4:0;6:0;;1.43;4.99;7.04
04/11/17;Sa.;20:00;Nantes;Toulouse;1:0;2:1;;1.98;3.11;4.69
05/11/17;So.;15:00;Nice;Dijon;1:0;1:0;;1.93;3.67;4.01
05/11/17;So.;17:00;Metz;Lille;0:1;0:3;;3.10;3.25;2.44
05/11/17;So.;17:00;Ol. Marseille;Caen;1:0;5:0;;1.57;4.22;5.99
05/11/17;So.;21:00;St. Etienne;Ol. Lyon;0:2;0:5;;3.33;3.61;2.16
92.KHW
17/11/17;Fr.;19:00;Lille;St. Etienne;1:1;3:1;;2.22;3.19;3.62
17/11/17;Fr.;20:45;SC Amiens;Monaco;1:0;1:1;;5.54;4.17;1.61
18/11/17;Sa.;17:00;Paris St.-Germain;Nantes;2:0;4:1;;1.14;8.98;20.55
18/11/17;Sa.;20:00;Straßburg;Rennes;1:0;2:1;;2.08;3.33;3.86
18/11/17;Sa.;20:00;Guingamp;Angers;1:1;1:1;;2.27;3.38;3.29
