Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
66.KHW
17/08/18;Fr.;20:15;Girona;Valladolid;0:0;0:0;;1.76;3.59;5.15
17/08/18;Fr.;22:15;Real Betis;Levante;0:1;0:3;;1.57;4.38;5.73
18/08/18;Sa.;18:15;Celta Vigo;Espanyol;0:1;1:1;;2.14;3.33;3.68
18/08/18;Sa.;20:15;Villarreal;R. Sociedad;1:1;1:2;;2.30;3.26;3.36
18/08/18;Sa.;22:15;Barcelona;Alavés;0:0;3:0;;1.09;11.07;27.44
19/08/18;So.;18:15;Eibar;Huesca;0:2;1:2;;1.76;3.65;5.05
19/08/18;So.;20:15;Vallecano;Sevilla;0:3;1:4;;4.53;3.94;1.77
19/08/18;So.;22:15;Real Madrid;Getafe;1:0;2:0;;1.21;7.14;13.73
20/08/18;Mo.;20:00;Valencia;Atlético;0:1;1:1;;3.51;3.24;2.24
20/08/18;Mo.;22:00;Athletic;Leganés;1:1;2:1;;1.67;3.77;5.66
68.KHW
24/08/18;Fr.;20:15;Getafe;Eibar;1:0;2:0;;2.19;3.04;3.93
24/08/18;Fr.;22:15;Leganés;R. Sociedad;0:2;2:2;;3.55;3.11;2.29
25/08/18;Sa.;18:15;Alavés;Real Betis;0:0;0:0;;3.02;3.27;2.48
25/08/18;Sa.;20:15;Atlético;Vallecano;0:0;1:0;;1.18;7.20;18.00
25/08/18;Sa.;22:15;Valladolid;Barcelona;0:0;0:1;;16.79;7.86;1.17
26/08/18;So.;18:15;Espanyol;Valencia;0:0;2:0;;2.87;3.25;2.61
26/08/18;So.;22:15;Girona;Real Madrid;1:1;1:4;;8.82;5.46;1.34
26/08/18;So.;22:15;Sevilla;Villarreal;0:0;0:0;;2.02;3.65;3.70
27/08/18;Mo.;20:15;Levante;Celta Vigo;0:2;1:2;;2.25;3.56;3.18
27/08/18;Mo.;22:00;Athletic;Huesca;0:0;2:2;;1.60;4.12;5.80
70.KHW
31/08/18;Fr.;20:00;Getafe;Valladolid;0:0;0:0;;1.96;3.17;4.67
31/08/18;Fr.;22:00;Villarreal;Girona;0:0;0:1;;1.52;4.39;6.57
31/08/18;Fr.;22:00;Eibar;R. Sociedad;1:1;2:1;;3.06;3.19;2.51
01/09/18;Sa.;18:30;Celta Vigo;Atlético;0:0;2:0;;5.02;3.62;1.77
01/09/18;Sa.;20:45;Real Madrid;Leganés;1:1;4:1;;1.18;7.92;16.02
02/09/18;So.;12:00;Levante;Valencia;2:1;2:2;;3.48;3.56;2.12
02/09/18;So.;16:15;Alavés;Espanyol;0:1;2:1;;3.25;3.12;2.43
02/09/18;So.;18:30;Barcelona;Huesca;3:2;8:2;;1.06;14.83;38.89
02/09/18;So.;20:45;Real Betis;Sevilla;0:0;1:0;;2.82;3.50;2.50
74.KHW
14/09/18;Fr.;21:00;Huesca;Vallecano;0:1;0:1;;2.35;3.42;3.10
15/09/18;Sa.;13:00;Atlético;Eibar;0:0;1:1;;1.40;4.45;9.91
15/09/18;Sa.;16:15;R. Sociedad;Barcelona;1:0;1:2;;7.85;5.37;1.38
15/09/18;Sa.;18:30;Valencia;Real Betis;0:0;0:0;;1.69;4.15;4.80
15/09/18;Sa.;20:45;Athletic;Real Madrid;1:0;1:1;;5.67;4.65;1.54
16/09/18;So.;12:00;Leganés;Villarreal;0:0;0:1;;2.99;3.16;2.57
