Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
29/09/19;So.;14:00;Eibar;Celta Vigo;0:0;2:0;;2.32;3.37;3.31
29/09/19;So.;16:00;Alavés;Mallorca;0:0;2:0;;2.41;3.05;3.47
29/09/19;So.;18:30;Levante;Osasuna;1:0;1:1;;2.33;3.47;3.19
29/09/19;So.;21:00;Sevilla;R. Sociedad;1:1;3:2;;2.03;3.52;3.96
80.KHW
04/10/19;Fr.;21:00;Real Betis;Eibar;0:1;1:1;;1.98;3.67;3.95
05/10/19;Sa.;13:00;Leganés;Levante;0:1;1:2;;2.05;3.47;3.93
05/10/19;Sa.;16:00;Real Madrid;Granada;2:0;4:2;;1.35;5.67;8.86
05/10/19;Sa.;18:30;Valencia;Alavés;1:0;2:1;;1.58;4.11;6.53
05/10/19;Sa.;21:00;Osasuna;Villarreal;0:1;2:1;;2.67;3.37;2.79
06/10/19;So.;12:00;Mallorca;Espanyol;1:0;2:0;;2.57;3.12;3.13
06/10/19;So.;14:00;Celta Vigo;Athletic;0:0;1:0;;2.37;3.05;3.57
06/10/19;So.;16:00;Valladolid;Atlético;0:0;0:0;;5.91;3.68;1.70
06/10/19;So.;18:30;R. Sociedad;Getafe;1:0;1:2;;2.21;3.23;3.75
06/10/19;So.;21:00;Barcelona;Sevilla;3:0;4:0;;1.51;4.80;6.33
84.KHW
18/10/19;Fr.;21:00;Granada;Osasuna;1:0;1:0;;2.55;3.00;3.29
19/10/19;Sa.;13:00;Eibar;Barcelona;0:1;0:3;;6.48;4.80;1.50
19/10/19;Sa.;16:00;Atlético;Valencia;1:0;1:1;;1.60;3.88;6.73
19/10/19;Sa.;18:30;Getafe;Leganés;0:0;2:0;;2.31;2.88;4.01
19/10/19;Sa.;21:00;Mallorca;Real Madrid;1:0;1:0;;5.87;4.57;1.56
20/10/19;So.;12:00;Alavés;Celta Vigo;0:0;2:0;;2.98;2.99;2.77
20/10/19;So.;14:00;R. Sociedad;Real Betis;2:1;3:1;;1.77;4.03;4.58
20/10/19;So.;16:00;Espanyol;Villarreal;0:1;0:1;;3.04;3.44;2.44
20/10/19;So.;18:30;Athletic;Valladolid;1:0;1:1;;1.82;3.35;5.49
20/10/19;So.;21:00;Sevilla;Levante;0:0;1:0;;1.33;6.02;9.06
86.KHW
25/10/19;Fr.;21:00;Villarreal;Alavés;1:0;4:1;;1.59;4.12;6.29
26/10/19;Sa.;16:00;Leganés;Mallorca;1:0;1:0;;1.72;3.55;6.05
26/10/19;Sa.;18:30;Valladolid;Eibar;2:0;2:0;;2.64;3.13;3.01
26/10/19;Sa.;21:00;Atlético;Athletic;1:0;2:0;;1.70;3.44;6.57
27/10/19;So.;12:00;Celta Vigo;R. Sociedad;0:0;0:1;;2.62;3.35;2.86
27/10/19;So.;14:00;Granada;Real Betis;0:0;1:0;;2.47;3.26;3.14
27/10/19;So.;16:00;Levante;Espanyol;0:1;0:1;;2.38;3.44;3.13
27/10/19;So.;18:30;Sevilla;Getafe;0:0;2:0;;1.77;3.62;5.27
27/10/19;So.;21:00;Osasuna;Valencia;1:1;3:1;;2.72;3.27;2.81
87.KHW
29/10/19;Di.;19:00;Alavés;Atlético;0:0;1:1;;4.77;3.18;1.98
29/10/19;Di.;21:15;Barcelona;Valladolid;3:1;5:1;;1.12;10.04;24.47
30/10/19;Mi.;19:00;Valencia;Sevilla;0:1;1:1;;3.26;3.41;2.33
30/10/19;Mi.;19:00;R. Sociedad;Levante;0:2;1:2;;1.58;4.47;5.77
30/10/19;Mi.;20:00;Athletic;Espanyol;2:0;3:0;;1.90;3.24;5.12
30/10/19;Mi.;21:00;Real Betis;Celta Vigo;1:0;2:1;;2.27;3.57;3.24
30/10/19;Mi.;21:15;Real Madrid;Leganés;3:0;5:0;;1.30;5.79;11.46
31/10/19;Do.;19:00;Mallorca;Osasuna;1:0;2:2;;2.59;3.09;3.12
31/10/19;Do.;19:00;Eibar;Villarreal;0:0;2:1;;2.41;3.50;3.03
31/10/19;Do.;21:15;Getafe;Granada;2:0;3:1;;1.78;3.36;5.88
88.KHW
02/11/19;Sa.;13:00;Espanyol;Valencia;1:0;1:2;;2.56;3.15;3.11
02/11/19;Sa.;16:00;Levante;Barcelona;0:1;3:1;;9.12;7.03;1.28
02/11/19;Sa.;18:30;Sevilla;Atlético;1:0;1:1;;2.50;3.08;3.28
02/11/19;Sa.;21:00;Real Madrid;Real Betis;0:0;0:0;;1.24;7.33;11.30
03/11/19;So.;12:00;Valladolid;Mallorca;1:0;3:0;;1.99;3.26;4.53
03/11/19;So.;14:00;Villarreal;Athletic;0:0;0:0;;2.11;3.31;3.92
03/11/19;So.;16:00;Osasuna;Alavés;3:1;4:2;;1.82;3.49;5.12
03/11/19;So.;18:30;Celta Vigo;Getafe;0:1;0:1;;2.48;3.08;3.30
03/11/19;So.;18:30;Leganés;Eibar;1:1;1:2;;2.22;3.09;3.91
03/11/19;So.;21:00;Granada;R. Sociedad;1:1;1:2;;2.79;3.10;2.87
90.KHW
08/11/19;Fr.;21:00;R. Sociedad;Leganés;;;;1.66;3.78;6.15
09/11/19;Sa.;13:00;Alavés;Valladolid;;;;2.43;3.07;3.42
09/11/19;Sa.;16:00;Valencia;Granada;;;;1.78;3.70;5.04
09/11/19;Sa.;18:30;Eibar;Real Madrid;;;;5.12;4.30;1.66
09/11/19;Sa.;21:00;Barcelona;Celta Vigo;;;;1.19;7.94;16.00
10/11/19;So.;12:00;Mallorca;Villarreal;;;;3.54;3.55;2.15
10/11/19;So.;14:00;Athletic;Levante;;;;1.72;3.90;5.24
10/11/19;So.;16:00;Atlético;Espanyol;;;;1.48;4.16;8.82
10/11/19;So.;18:30;Getafe;Osasuna;;;;1.98;3.31;4.50
10/11/19;So.;21:00;Real Betis;Sevilla;;;;3.63;3.61;2.10
94.KHW
22/11/19;Fr.;21:00;Levante;Mallorca;;;;1.96;3.68;4.03
23/11/19;Sa.;13:00;Leganés;Barcelona;;;;8.05;5.55;1.38
23/11/19;Sa.;16:00;Real Betis;Valencia;;;;2.51;3.49;2.90
23/11/19;Sa.;18:30;Granada;Atlético;;;;5.44;3.41;1.81
23/11/19;Sa.;21:00;Real Madrid;R. Sociedad;;;;1.43;5.41;6.84
24/11/19;So.;12:00;Espanyol;Getafe;;;;2.61;3.06;3.13
24/11/19;So.;14:00;Osasuna;Athletic;;;;2.74;3.12;2.90
24/11/19;So.;16:00;Eibar;Alavés;;;;1.76;3.71;5.16
24/11/19;So.;18:30;Villarreal;Celta Vigo;;;;1.84;3.87;4.36
24/11/19;So.;21:00;Valladolid;Sevilla;;;;3.67;3.56;2.10
96.KHW
29/11/19;Fr.;21:00;Celta Vigo;Valladolid;;;;;;
30/11/19;Sa.;13:00;Alavés;Real Madrid;;;;;;
30/11/19;Sa.;16:00;R. Sociedad;Eibar;;;;;;
30/11/19;Sa.;18:30;Mallorca;Real Betis;;;;;;
30/11/19;Sa.;21:00;Valencia;Villarreal;;;;;;
01/12/19;So.;12:00;Sevilla;Leganés;;;;;;
01/12/19;So.;14:00;Athletic;Granada;;;;;;
01/12/19;So.;16:00;Espanyol;Osasuna;;;;;;
01/12/19;So.;18:30;Getafe;Levante;;;;;;
01/12/19;So.;21:00;Atlético;Barcelona;;;;;;
98.KHW
08/12/19;So.;u.U.;Levante;Valencia;;;;;;
08/12/19;So.;u.U.;Valladolid;R. Sociedad;;;;;;
08/12/19;So.;u.U.;Real Madrid;Espanyol;;;;;;
08/12/19;So.;u.U.;Osasuna;Sevilla;;;;;;
08/12/19;So.;u.U.;Villarreal;Atlético;;;;;;
