Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
66.KHW
19/08/17;Sa.;18:00;Juventus;Cagliari;2:0;3:0;;1.14;8.45;21.30
19/08/17;Sa.;20:45;Verona;Neapel;0:2;1:3;;7.46;4.90;1.43
20/08/17;So.;18:00;Atalanta;AS Rom;0:1;0:1;;2.87;3.47;2.48
20/08/17;So.;20:45;Crotone;AC Mailand;0:3;0:3;;6.84;4.32;1.51
20/08/17;So.;20:45;Inter;Fiorentina;2:0;3:0;;1.51;4.51;6.48
20/08/17;So.;20:45;Lazio;Spal;0:0;0:0;;1.28;5.98;10.98
20/08/17;So.;20:45;Sampdoria;Benevento;1:1;2:1;;1.63;4.01;5.64
20/08/17;So.;20:45;Sassuolo;Genua;0:0;0:0;;1.92;3.56;4.22
20/08/17;So.;20:45;Udinese;Chievo;1:1;1:2;;2.05;3.31;4.00
20/08/17;So.;20:45;Bologna;Turin;1:1;1:1;;3.23;3.37;2.31
68.KHW
26/08/17;Sa.;18:00;Benevento;Bologna;0:0;0:1;;2.59;3.24;2.89
26/08/17;Sa.;18:00;Genua;Juventus;2:2;2:4;;7.83;4.41;1.46
26/08/17;Sa.;20:45;AS Rom;Inter;1:0;1:3;;2.22;3.62;3.20
27/08/17;So.;18:00;Turin;Sassuolo;1:0;3:0;;1.65;4.25;5.05
27/08/17;So.;20:45;Neapel;Atalanta;0:1;3:1;;1.36;5.30;8.62
27/08/17;So.;20:45;Spal;Udinese;1:0;3:2;;2.48;3.22;3.07
27/08/17;So.;20:45;AC Mailand;Cagliari;1:0;2:1;;1.35;5.42;8.53
27/08/17;So.;20:45;Fiorentina;Sampdoria;0:2;1:2;;1.67;4.08;5.09
27/08/17;So.;20:45;Chievo;Lazio;1:1;1:2;;4.00;3.46;2.00
27/08/17;So.;20:45;Crotone;Verona;0:0;0:0;;2.75;3.19;2.77
72.KHW
09/09/17;Sa.;18:00;Juventus;Chievo;1:0;3:0;;1.26;5.76;13.74
09/09/17;Sa.;20:45;Sampdoria;AS Rom;;;v.S.;3.90;3.91;1.90
10/09/17;So.;12:30;Inter;Spal;1:0;2:0;;1.23;6.68;12.64
10/09/17;So.;15:00;Cagliari;Crotone;1:0;1:0;;1.61;4.03;5.89
10/09/17;So.;15:00;Verona;Fiorentina;0:3;0:5;;3.76;3.53;2.04
10/09/17;So.;15:00;Atalanta;Sassuolo;1:1;2:1;;1.63;4.02;5.59
10/09/17;So.;15:00;Udinese;Genua;1:0;1:0;;2.46;3.22;3.10
10/09/17;So.;16:00;Lazio;AC Mailand;2:0;4:1;;2.31;3.50;3.12
10/09/17;So.;18:00;Benevento;Turin;0:0;0:1;;3.70;3.74;1.99
10/09/17;So.;20:45;Bologna;Neapel;0:0;0:3;;8.07;5.16;1.38
74.KHW
16/09/17;Sa.;15:00;Crotone;Inter;0:0;0:2;;7.16;4.76;1.45
16/09/17;Sa.;18:00;Fiorentina;Bologna;0:0;2:1;;1.55;4.37;6.04
16/09/17;Sa.;20:45;AS Rom;Verona;2:0;3:0;;1.23;6.85;12.46
17/09/17;So.;12:30;Sassuolo;Juventus;0:1;1:3;;7.04;4.29;1.50
17/09/17;So.;15:00;Turin;Sampdoria;2:2;2:2;;1.72;4.15;4.61
17/09/17;So.;15:00;Neapel;Benevento;4:0;6:0;;1.10;10.74;24.64
17/09/17;So.;15:00;AC Mailand;Udinese;2:1;2:1;;1.39;4.98;8.33
17/09/17;So.;15:00;Spal;Cagliari;0:1;0:2;;2.39;3.34;3.11
17/09/17;So.;18:00;Chievo;Atalanta;0:0;1:1;;2.99;3.20;2.54
17/09/17;So.;20:45;Genua;Lazio;0:1;2:3;;4.03;3.54;1.96
75.KHW
19/09/17;Di.;20:45;Bologna;Inter;1:0;1:1;;5.37;3.96;1.66
20/09/17;Mi.;18:00;Benevento;AS Rom;0:2;0:4;;8.94;5.70;1.33
20/09/17;Mi.;20:45;AC Mailand;Spal;1:0;2:0;;1.25;6.36;11.61
20/09/17;Mi.;20:45;Udinese;Turin;0:2;2:3;;3.19;3.55;2.25
20/09/17;Mi.;20:45;Juventus;Fiorentina;0:0;1:0;;1.42;4.77;7.79
20/09/17;Mi.;20:45;Verona;Sampdoria;0:0;0:0;;3.59;3.46;2.12
20/09/17;Mi.;20:45;Genua;Chievo;0:0;1:1;;2.27;3.25;3.42
20/09/17;Mi.;20:45;Cagliari;Sassuolo;0:0;0:1;;2.20;3.42;3.41
20/09/17;Mi.;20:45;Atalanta;Crotone;3:0;5:1;;1.36;4.89;9.99
20/09/17;Mi.;20:45;Lazio;Neapel;1:0;1:4;;3.42;3.65;2.11
76.KHW
23/09/17;Sa.;15:00;AS Rom;Udinese;3:0;3:1;;1.25;6.52;11.49
23/09/17;Sa.;18:00;Spal;Neapel;1:1;2:3;;13.06;6.66;1.23
23/09/17;Sa.;20:45;Juventus;Turin;2:0;4:0;;1.41;4.88;7.91
24/09/17;So.;12:30;Sampdoria;AC Mailand;0:0;2:0;;3.60;3.60;2.06
24/09/17;So.;15:00;Crotone;Benevento;1:0;2:0;;2.04;3.32;4.02
24/09/17;So.;15:00;Cagliari;Chievo;0:0;0:2;;2.29;3.29;3.34
24/09/17;So.;15:00;Inter;Genua;0:0;1:0;;1.36;5.18;8.91
24/09/17;So.;15:00;Verona;Lazio;0:2;0:3;;5.57;4.32;1.59
24/09/17;So.;18:00;Sassuolo;Bologna;0:0;0:1;;2.07;3.36;3.84
24/09/17;So.;20:45;Fiorentina;Atalanta;1:0;1:1;;2.29;3.44;3.19
78.KHW
