Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
66.KHW
18/08/18;Sa.;18:00;Chievo;Juventus;1:1;2:3;;15.43;6.25;1.23
18/08/18;Sa.;20:30;Lazio;Neapel;1:1;1:2;;2.77;3.50;2.54
19/08/18;So.;18:00;Turin;Roma;0:0;0:1;;3.51;3.62;2.09
19/08/18;So.;20:30;Empoli;Cagliari;1:0;2:0;;2.50;3.35;2.93
19/08/18;So.;20:30;Parma;Udinese;1:0;2:2;;2.77;3.20;2.73
19/08/18;So.;20:30;Sassuolo;Inter;1:0;1:0;;4.73;3.80;1.77
19/08/18;So.;20:30;Bologna;Spal;0:0;0:1;;2.29;3.08;3.60
20/08/18;Mo.;20:30;Atalanta;Frosinone;1:0;4:0;;1.34;5.22;9.79
68.KHW
25/08/18;Sa.;18:00;Juventus;Lazio;1:0;2:0;;1.52;4.45;6.30
25/08/18;Sa.;20:30;Neapel;Milan;0:1;3:2;;1.65;4.02;5.45
26/08/18;So.;18:00;Spal;Parma;0:0;1:0;;2.42;3.07;3.31
26/08/18;So.;20:30;Udinese;Sampdoria;1:0;1:0;;2.23;3.47;3.29
26/08/18;So.;20:30;Genua;Empoli;2:0;2:1;;2.02;3.60;3.75
26/08/18;So.;20:30;Inter;Turin;2:0;2:2;;1.62;3.90;6.05
26/08/18;So.;20:30;Frosinone;Bologna;0:0;0:0;;3.46;3.05;2.36
26/08/18;So.;20:30;Florenz;Chievo;2:0;6:1;;1.47;4.48;7.23
26/08/18;So.;20:30;Cagliari;Sassuolo;1:0;2:2;;2.45;3.28;3.06
27/08/18;Mo.;20:30;Roma;Atalanta;1:3;3:3;;1.56;4.34;5.97
70.KHW
31/08/18;Fr.;20:30;Milan;Roma;1:0;2:1;;2.35;3.54;3.01
01/09/18;Sa.;18:00;Bologna;Inter;0:0;0:3;;4.90;3.26;1.89
01/09/18;Sa.;20:30;Parma;Juventus;1:1;1:2;;11.58;5.89;1.28
02/09/18;So.;18:00;Florenz;Udinese;0:0;1:0;;1.75;3.88;4.72
02/09/18;So.;20:30;Turin;Spal;0:0;1:0;;1.68;3.79;5.55
02/09/18;So.;20:30;Sassuolo;Genua;4:1;5:3;;2.30;3.24;3.38
02/09/18;So.;20:30;Chievo;Empoli;0:0;0:0;;3.12;3.24;2.44
02/09/18;So.;20:30;Sampdoria;Neapel;2:0;3:0;;6.72;4.26;1.52
02/09/18;So.;20:30;Lazio;Frosinone;0:0;1:0;;1.26;6.23;11.63
02/09/18;So.;20:30;Atalanta;Cagliari;0:1;0:1;;1.39;5.09;8.17
74.KHW
15/09/18;Sa.;15:00;Inter;Parma;0:0;0:1;;1.36;5.00;9.59
15/09/18;Sa.;18:00;Neapel;Florenz;0:0;1:0;;1.43;4.81;7.41
15/09/18;Sa.;20:30;Frosinone;Sampdoria;0:1;0:5;;3.10;3.20;2.47
16/09/18;So.;12:30;Roma;Chievo;2:0;2:2;;1.23;6.85;12.42
16/09/18;So.;15:00;Udinese;Turin;1:0;1:1;;2.74;3.29;2.69
16/09/18;So.;15:00;Juventus;Sassuolo;0:0;2:1;;1.23;6.68;13.07
16/09/18;So.;15:00;Genua;Bologna;0:0;1:0;;2.06;3.28;4.01
16/09/18;So.;18:00;Empoli;Lazio;0:0;0:1;;5.20;4.16;1.65
16/09/18;So.;20:30;Cagliari;Milan;1:0;1:1;;4.56;3.63;1.83
17/09/18;Mo.;20:30;Spal;Atalanta;0:0;2:0;;5.12;3.75;1.73
75.KHW
19/09/18;Mi.;19:00;Sampdoria;Florenz;0:1;1:1;;2.82;3.43;2.54
76.KHW
21/09/18;Fr.;20:30;Sassuolo;Empoli;1:1;3:1;;2.15;3.27;3.72
22/09/18;Sa.;15:00;Parma;Cagliari;1:0;2:0;;2.46;3.31;3.02
22/09/18;Sa.;18:00;Florenz;Spal;2:0;3:0;;1.71;3.76;5.29
22/09/18;Sa.;20:30;Sampdoria;Inter;0:0;0:1;;4.28;3.72;1.86
23/09/18;So.;12:30;Turin;Neapel;0:2;1:3;;4.24;3.50;1.93
23/09/18;So.;15:00;Chievo;Udinese;0:0;0:2;;2.86;3.06;2.75
23/09/18;So.;15:00;Bologna;Roma;1:0;2:0;;5.38;3.81;1.69
23/09/18;So.;15:00;Lazio;Genua;2:0;4:1;;1.46;4.66;7.18
23/09/18;So.;18:00;Milan;Atalanta;1:0;2:2;;2.15;3.34;3.63
23/09/18;So.;20:30;Frosinone;Juventus;0:0;0:2;;14.77;7.28;1.20
77.KHW
25/09/18;Di.;21:00;Inter;Florenz;1:0;2:1;;1.63;3.81;6.13
26/09/18;Mi.;19:00;Udinese;Lazio;0:0;1:2;;3.93;3.38;2.04
26/09/18;Mi.;21:00;Genua;Chievo;1:0;2:0;;1.75;3.72;5.01
26/09/18;Mi.;21:00;Juventus;Bologna;2:0;2:0;;1.14;8.81;22.16
26/09/18;Mi.;21:00;Neapel;Parma;1:0;3:0;;1.20;7.17;14.86
26/09/18;Mi.;21:00;Roma;Frosinone;3:0;4:0;;1.21;7.10;13.75
26/09/18;Mi.;21:00;Cagliari;Sampdoria;0:0;0:0;;2.29;3.28;3.35
26/09/18;Mi.;21:00;Atalanta;Turin;0:0;0:0;;1.67;3.97;5.27
27/09/18;Do.;19:00;Spal;Sassuolo;0:0;0:2;;2.42;3.24;3.15
27/09/18;Do.;21:00;Empoli;Milan;0:1;1:1;;4.44;3.79;1.82
78.KHW
29/09/18;Sa.;15:00;Roma;Lazio;1:0;3:1;;2.63;3.64;2.60
29/09/18;Sa.;18:00;Juventus;Neapel;1:1;3:1;;1.86;3.44;4.71
29/09/18;Sa.;20:30;Inter;Cagliari;1:0;2:0;;1.45;4.74;7.23
30/09/18;So.;12:30;Bologna;Udinese;1:1;2:1;;2.73;3.07;2.88
30/09/18;So.;15:00;Frosinone;Genua;1:2;1:2;;3.43;3.30;2.24
30/09/18;So.;15:00;Florenz;Atalanta;0:0;2:0;;2.35;3.44;3.08
30/09/18;So.;15:00;Chievo;Turin;0:0;0:1;;4.02;3.27;2.06
30/09/18;So.;18:00;Parma;Empoli;1:0;1:0;;2.45;3.48;2.89
30/09/18;So.;20:30;Sassuolo;Milan;0:1;1:4;;3.44;3.50;2.16
01/10/18;Mo.;20:30;Sampdoria;Spal;1:1;2:1;;1.76;3.64;5.04
80.KHW
05/10/18;Fr.;20:30;Turin;Frosinone;1:0;3:2;;1.48;4.36;7.39
06/10/18;Sa.;15:00;Cagliari;Bologna;1:0;2:0;;2.08;3.23;4.01
06/10/18;Sa.;18:00;Udinese;Juventus;0:2;0:2;;10.69;5.15;1.33
06/10/18;Sa.;20:30;Empoli;Roma;0:1;0:2;;4.54;4.06;1.74
07/10/18;So.;12:30;Genua;Parma;1:3;1:3;;1.72;3.83;5.10
07/10/18;So.;15:00;Atalanta;Sampdoria;0:0;0:1;;1.56;4.30;5.93
07/10/18;So.;15:00;Milan;Chievo;2:0;3:1;;1.22;6.70;14.21
07/10/18;So.;15:00;Lazio;Florenz;1:0;1:0;;1.76;3.94;4.56
07/10/18;So.;18:00;Neapel;Sassuolo;1:0;2:0;;1.43;4.79;7.55
07/10/18;So.;20:30;Spal;Inter;0:1;1:2;;7.12;3.88;1.56
84.KHW
20/10/18;Sa.;15:00;Roma;Spal;0:1;0:2;;1.31;5.97;9.11
