Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
60.KHW
28/07/17;Fr.;20:30;Bochum;St. Pauli;0:0;0:1;;2.21;3.24;3.14
29/07/17;Sa.;13:00;Ingolstadt;Berlin;0:0;0:1;;2.03;3.30;3.52
29/07/17;Sa.;15:30;Darmstadt;Fürth;0:0;1:0;;2.10;3.15;3.48
29/07/17;Sa.;15:30;Bielefeld;Regensburg;1:1;2:1;;1.95;3.29;3.79
30/07/17;So.;13:30;Nürnberg;Kaiserslautern;2:0;3:0;;2.04;3.17;3.66
30/07/17;So.;15:30;Dresden;Duisburg;0:0;1:0;;2.12;3.25;3.33
30/07/17;So.;15:30;Heidenheim;Aue;;;v.S.;1.89;3.22;4.18
30/07/17;So.;15:30;Kiel;Sandhausen;0:2;2:2;;2.08;3.14;3.55
31/07/17;Mo.;20:30;Düsseldorf;Braunschweig;1:1;2:2;;2.07;3.19;3.53
62.KHW
04/08/17;Fr.;18:30;Sandhausen;Ingolstadt;0:0;1:0;;3.31;3.06;2.22
04/08/17;Fr.;18:30;Berlin;Kiel;3:3;4:3;;1.86;3.34;4.11
04/08/17;Fr.;20:30;Kaiserslautern;Darmstadt;1:0;1:1;;2.52;2.99;2.87
05/08/17;Sa.;13:00;Duisburg;Bochum;1:0;1:1;;2.59;3.19;2.62
05/08/17;Sa.;15:30;Braunschweig;Heidenheim;1:0;2:0;;2.19;3.15;3.27
06/08/17;So.;13:30;Regensburg;Nürnberg;0:0;0:1;;2.72;3.27;2.46
06/08/17;So.;15:30;Aue;Düsseldorf;0:1;0:2;;2.59;3.03;2.75
06/08/17;So.;15:30;Fürth;Bielefeld;0:2;1:2;;2.11;3.18;3.42
07/08/17;Mo.;20:30;St. Pauli;Dresden;1:1;2:2;;1.69;3.65;4.69
63.KHW
09/08/17;Mi.;20:00;Heidenheim;Aue;1:1;2:1;;2.01;3.14;3.78
66.KHW
18/08/17;Fr.;18:30;Darmstadt;St. Pauli;1:0;3:0;;2.46;3.12;2.83
18/08/17;Fr.;18:30;Braunschweig;Aue;1:1;1:1;;1.77;3.43;4.49
19/08/17;Sa.;13:00;Dresden;Sandhausen;0:1;0:4;;2.00;3.29;3.62
19/08/17;Sa.;13:00;Heidenheim;Duisburg;0:0;1:2;;2.03;3.21;3.64
19/08/17;Sa.;13:00;Düsseldorf;Kaiserslautern;1:0;2:0;;1.96;3.26;3.80
20/08/17;So.;13:30;Nürnberg;Berlin;0:0;2:2;;2.43;3.27;2.76
20/08/17;So.;13:30;Kiel;Fürth;2:1;3:1;;1.99;3.22;3.76
20/08/17;So.;13:30;Ingolstadt;Regensburg;0:1;2:4;;1.57;3.81;5.47
21/08/17;Mo.;20:30;Bielefeld;Bochum;2:0;2:0;;2.39;3.25;2.82
68.KHW
25/08/17;Fr.;18:30;Fürth;Ingolstadt;0:0;0:1;;2.86;3.12;2.44
25/08/17;Fr.;18:30;Duisburg;Darmstadt;1:1;1:2;;2.29;3.15;3.08
26/08/17;Sa.;13:00;St. Pauli;Heidenheim;0:0;1:0;;1.94;3.30;3.84
26/08/17;Sa.;13:00;Regensburg;Kiel;1:2;1:2;;2.82;3.36;2.33
26/08/17;Sa.;13:00;Aue;Nürnberg;0:0;3:1;;2.69;3.08;2.60
27/08/17;So.;13:30;Sandhausen;Düsseldorf;1:0;1:2;;2.35;3.08;3.03
27/08/17;So.;13:30;Berlin;Bielefeld;0:0;1:1;;1.70;3.78;4.43
27/08/17;So.;13:30;Bochum;Dresden;2:1;3:2;;1.71;3.79;4.32
28/08/17;Mo.;20:30;Kaiserslautern;Braunschweig;0:1;1:1;;2.41;3.05;2.96
72.KHW
08/09/17;Fr.;18:30;Dresden;Fürth;1:0;1:1;;2.31;3.23;2.97
08/09/17;Fr.;18:30;Heidenheim;Regensburg;0:0;1:3;;1.98;3.37;3.59
09/09/17;Sa.;13:00;Kiel;Kaiserslautern;1:0;2:1;;1.68;3.59;4.85
09/09/17;Sa.;13:00;Bielefeld;Duisburg;0:1;0:4;;2.21;3.25;3.13
09/09/17;Sa.;13:00;Ingolstadt;Aue;0:1;1:2;;1.79;3.43;4.38
10/09/17;So.;13:30;Braunschweig;Sandhausen;0:0;1:1;;2.02;3.25;3.59
10/09/17;So.;13:30;Darmstadt;Bochum;1:0;1:2;;2.13;3.33;3.23
10/09/17;So.;13:30;Düsseldorf;Berlin;1:0;3:2;;2.39;3.25;2.83
11/09/17;Mo.;20:30;Nürnberg;St. Pauli;0:0;0:1;;1.96;3.35;3.69
74.KHW
15/09/17;Fr.;18:30;Berlin;Braunschweig;0:0;1:1;;1.79;3.51;4.21
15/09/17;Fr.;18:30;Aue;Kiel;0:2;0:3;;2.81;3.12;2.48
16/09/17;Sa.;13:00;St. Pauli;Ingolstadt;0:4;0:4;;2.62;3.13;2.64
16/09/17;Sa.;13:00;Sandhausen;Kaiserslautern;0:0;1:0;;2.18;3.01;3.46
16/09/17;Sa.;13:00;Duisburg;Nürnberg;0:2;1:6;;2.25;3.25;3.05
