Datum;Tag;Uhrzeit;Heimteam;Auswärtsteam;HZ-Ergebnis;Endergebnis;Ereignis;1;X;2
60.KHW
26/07/19;Fr.;20:30;Stuttgart;Hannover;2:1;2:1;;1.72;4.04;4.54
27/07/19;Sa.;13:00;Dresden;Nürnberg;0:0;0:1;;2.64;3.34;2.69
27/07/19;Sa.;15:30;Kiel;Sandhausen;0:1;1:1;;1.80;3.93;4.19
27/07/19;Sa.;15:30;Osnabrück;Heidenheim;0:0;1:3;;2.55;3.41;2.74
28/07/19;So.;13:30;Hamburg;Darmstadt;0:0;1:1;;1.61;4.02;5.50
28/07/19;So.;15:30;Regensburg;Bochum;1:0;3:1;;2.24;3.58;3.08
28/07/19;So.;15:30;Fürth;Aue;0:1;0:2;;2.22;3.30;3.39
28/07/19;So.;15:30;Wiesbaden;Karlsruhe;0:1;1:2;;2.44;3.47;2.83
29/07/19;Mo.;20:30;Bielefeld;St. Pauli;0:1;1:1;;1.88;3.74;3.99
62.KHW
02/08/19;Fr.;18:30;Bochum;Bielefeld;0:0;3:3;;2.78;3.55;2.44
02/08/19;Fr.;18:30;Sandhausen;Osnabrück;0:0;0:1;;2.21;3.37;3.32
02/08/19;Fr.;20:30;St. Pauli;Fürth;1:2;1:3;;2.14;3.46;3.40
03/08/19;Sa.;13:00;Karlsruhe;Dresden;1:1;4:2;;2.04;3.52;3.63
03/08/19;Sa.;15:30;Hannover;Regensburg;0:0;1:1;;2.27;3.60;3.02
04/08/19;So.;13:30;Heidenheim;Stuttgart;0:0;2:2;;2.68;3.47;2.57
04/08/19;So.;15:30;Darmstadt;Kiel;1:0;2:0;;2.93;3.71;2.28
04/08/19;So.;15:30;Aue;Wiesbaden;2:1;3:2;;2.57;3.36;2.75
05/08/19;Mo.;20:30;Nürnberg;Hamburg;0:2;0:4;;3.06;3.25;2.41
66.KHW
16/08/19;Fr.;18:30;Hamburg;Bochum;0:0;1:0;;1.50;4.42;6.44
16/08/19;Fr.;18:30;Sandhausen;Nürnberg;2:1;3:2;;2.67;3.21;2.74
17/08/19;Sa.;13:00;Wiesbaden;Hannover;0:1;0:3;;3.02;3.60;2.27
17/08/19;Sa.;13:00;Bielefeld;Aue;1:0;3:1;;1.66;3.97;5.09
17/08/19;Sa.;13:00;Stuttgart;St. Pauli;0:1;2:1;;1.45;4.83;6.64
18/08/19;So.;13:30;Dresden;Heidenheim;0:0;2:1;;2.66;3.58;2.54
18/08/19;So.;13:30;Fürth;Regensburg;0:0;1:0;;2.74;3.60;2.45
18/08/19;So.;13:30;Kiel;Karlsruhe;1:1;2:1;;1.96;3.87;3.57
19/08/19;Mo.;20:30;Osnabrück;Darmstadt;1:0;4:0;;2.27;3.35;3.20
68.KHW
23/08/19;Fr.;18:30;Darmstadt;Dresden;0:0;0:0;;2.44;3.42;2.88
23/08/19;Fr.;18:30;Aue;Stuttgart;0:0;0:0;;3.69;3.86;1.92
24/08/19;Sa.;13:00;Hannover;Fürth;0:1;1:1;;1.65;4.08;5.08
24/08/19;Sa.;13:00;Regensburg;Bielefeld;0:1;1:3;;2.79;3.61;2.41
24/08/19;Sa.;13:00;Bochum;Wiesbaden;0:3;3:3;;2.04;3.73;3.42
25/08/19;So.;13:30;Nürnberg;Osnabrück;0:0;1:0;;2.29;3.41;3.12
25/08/19;So.;13:30;Heidenheim;Sandhausen;0:0;0:2;;2.04;3.69;3.46
25/08/19;So.;13:30;Karlsruhe;Hamburg;0:2;2:4;;3.69;3.58;2.00
26/08/19;Mo.;20:30;St. Pauli;Kiel;0:0;2:1;;2.57;3.67;2.57
70.KHW
30/08/19;Fr.;18:30;Sandhausen;Darmstadt;0:0;1:0;;1.84;3.62;4.35
30/08/19;Fr.;18:30;Nürnberg;Heidenheim;1:0;2:2;;2.11;3.58;3.37
31/08/19;Sa.;13:00;Bielefeld;Fürth;1:2;2:2;;1.81;3.86;4.20
31/08/19;Sa.;13:00;Dresden;St. Pauli;1:3;3:3;;2.20;3.53;3.21
31/08/19;Sa.;13:00;Wiesbaden;Regensburg;0:2;0:5;;2.35;3.75;2.80
01/09/19;So.;13:30;Hamburg;Hannover;1:0;3:0;;1.72;3.94;4.66
01/09/19;So.;13:30;Osnabrück;Karlsruhe;1:0;3:0;;2.62;3.41;2.67
01/09/19;So.;13:30;Kiel;Aue;0:0;1:1;;1.57;4.47;5.26
02/09/19;Mo.;20:30;Stuttgart;Bochum;1:1;2:1;;1.58;4.48;5.20
74.KHW
13/09/19;Fr.;18:30;Fürth;Wiesbaden;0:0;2:1;;1.90;3.90;3.75
13/09/19;Fr.;18:30;Karlsruhe;Sandhausen;0:0;1:0;;2.55;3.54;2.66
14/09/19;Sa.;13:00;Hannover;Bielefeld;0:1;0:2;;2.44;3.60;2.75
14/09/19;Sa.;13:00;Heidenheim;Kiel;2:0;3:0;;2.37;3.86;2.71
14/09/19;Sa.;13:00;Regensburg;Stuttgart;0:1;2:3;;2.73;3.78;2.38
15/09/19;So.;13:30;Aue;Osnabrück;1:0;1:0;;2.61;3.40;2.69
15/09/19;So.;13:30;Darmstadt;Nürnberg;1:2;3:3;;3.12;3.42;2.29
15/09/19;So.;13:30;Bochum;Dresden;0:0;2:2;;2.16;3.68;3.17
16/09/19;Mo.;20:30;St. Pauli;Hamburg;1:0;2:0;;3.93;3.77;1.89
76.KHW
20/09/19;Fr.;18:30;Heidenheim;Darmstadt;0:0;1:0;;1.93;3.80;3.72
20/09/19;Fr.;18:30;Kiel;Hannover;0:1;1:2;;2.18;3.81;3.04
21/09/19;Sa.;13:00;Sandhausen;Bochum;0:0;1:1;;2.21;3.58;3.15
21/09/19;Sa.;13:00;Stuttgart;Fürth;1:0;2:0;;1.55;4.54;5.39
21/09/19;Sa.;13:00;Nürnberg;Karlsruhe;1:1;1:1;;2.01;3.65;3.58
21/09/19;Sa.;13:00;Wiesbaden;Bielefeld;1:3;2:5;;3.77;4.00;1.87
22/09/19;So.;13:30;Hamburg;Aue;2:0;4:0;;1.41;4.87;7.39
22/09/19;So.;13:30;Osnabrück;St. Pauli;1:1;1:1;;2.54;3.53;2.68
22/09/19;So.;13:30;Dresden;Regensburg;0:1;2:1;;2.33;3.76;2.82
78.KHW
27/09/19;Fr.;18:30;Bielefeld;Stuttgart;0:0;0:1;;2.62;3.68;2.52
27/09/19;Fr.;18:30;Wiesbaden;Osnabrück;1:0;2:0;;2.85;3.76;2.31
28/09/19;Sa.;13:00;Regensburg;Hamburg;1:0;2:2;;4.06;4.03;1.80
28/09/19;Sa.;13:00;Bochum;Darmstadt;2:1;2:2;;1.99;3.68;3.62
28/09/19;Sa.;13:00;Karlsruhe;Heidenheim;1:0;1:1;;2.37;3.58;2.86
29/09/19;So.;13:30;St. Pauli;Sandhausen;2:0;2:0;;2.28;3.48;3.10
29/09/19;So.;13:30;Fürth;Kiel;0:1;0:3;;2.17;3.75;3.11
